protocol,n_windows,total_minutes,empirical_oos_r2_mean,empirical_oos_r2_sd,ceiling_indicator_linear
contiguous_1h,1,60.0,0.7261809126537291,0.005580750440175236,0.7406614709106181
contiguous_6h,1,360.0,0.884997900355723,0.002822795741032419,0.8910059674195178
intermittent_4x15min,4,60.0,0.9830296042472233,0.000917843049152446,0.9867646912267127
contiguous_1h_as_4x15min,4,60.0,0.6565992121862092,0.04105223485022427,0.757173480769102
intermittent_2x30min,2,60.0,0.9224240441393947,0.0036021957359965782,0.9301603879408514
intermittent_8x15min,8,120.0,0.9940468008529602,0.0008528165158661003,0.9963370932061213
dispersed_1x15min,1,15.0,0.7072650549062511,0.0050712215744259555,0.7222479045122929
contiguous_15min,1,15.0,0.7072650549062511,0.0050712215744259555,0.7222479045122929
dispersed_2x15min,2,30.0,0.9224240441393947,0.0036021957359965782,0.9301603879408514
contiguous_30min,1,30.0,0.7072650549062511,0.0050712215744259555,0.7222479045122929
dispersed_4x15min,4,60.0,0.9830296042472233,0.000917843049152446,0.9867646912267127
contiguous_60min,1,60.0,0.7261809126537291,0.005580750440175236,0.7406614709106181
dispersed_8x15min,8,120.0,0.9940468008529602,0.0008528165158661003,0.9963370932061213
contiguous_120min,1,120.0,0.7570530075180973,0.0035604703790398434,0.7684373384838739
dispersed_16x15min,16,240.0,0.9986827885420368,8.495570203668534e-05,0.9993829371909584
contiguous_240min,1,240.0,0.826508129067131,0.003018259002767087,0.8350362274537786
dispersed_32x15min,32,480.0,0.9998416523241218,1.2024995677782085e-05,0.9999801913687911
contiguous_480min,1,480.0,0.9208796841108893,0.0019447240666652752,0.9251295557443788
