config,cid,arm,m,rep,label,I_true_ref,I_hat_ref,ref_err,uniform_err,k_err,r_eff,nu2_used,ci_lo,ci_hi,ci_width,covered,bound,bound_ratio,bound_lt_one,small_pert_ok
ou_alpha0_nu0.25,0,known,25,6,mean,0.26799418107294054,0.1746878299374072,-0.09330635113553334,0.27534470412053014,10.587821491109636,6.533356031806245,0.25,0.08515740378830512,0.4312340236913372,0.34607661990303207,1,inf,inf,0,0
ou_alpha0_nu0.25,0,known,25,6,sigmoid,0.26258063840905604,0.17142246618140974,-0.0911581722276463,0.27021852194587465,10.587821491109636,6.533356031806245,0.25,0.0832695122655879,0.42116329936414243,0.33789378709855455,1,inf,inf,0,0
ou_alpha0_nu0.25,0,known,25,6,occ_c0,0.24401651828426504,0.15883257231634718,-0.08518394596791787,0.24909538430113862,10.587821491109636,6.533356031806245,0.25,0.0733664320454357,0.3840652334551041,0.31069880140966843,1,inf,inf,0,0
ou_alpha0_nu0.25,0,known,25,6,occ_c1,0.2131886770478779,0.1451218937516228,-0.0680667832962551,0.15896948969946906,10.587821491109636,6.533356031806245,0.25,0.10036066753680807,0.3111661362743094,0.21080546873750133,1,inf,inf,0,0
ou_alpha0_nu0.25,0,estimated,25,6,mean,0.26799418107294054,0.17485666239820086,-0.09313751867473968,0.27465684009635016,10.555260592672537,6.545250963701373,0.2447839949856531,nan,nan,nan,-1,inf,inf,0,0
ou_alpha0_nu0.25,0,estimated,25,6,sigmoid,0.26258063840905604,0.17159703410943095,-0.0909836042996251,0.2695619252389318,10.555260592672537,6.545250963701373,0.2447839949856531,nan,nan,nan,-1,inf,inf,0,0
ou_alpha0_nu0.25,0,estimated,25,6,occ_c0,0.24401651828426504,0.15901395342157304,-0.085002564862692,0.24853151423913658,10.555260592672537,6.545250963701373,0.2447839949856531,nan,nan,nan,-1,inf,inf,0,0
ou_alpha0_nu0.25,0,estimated,25,6,occ_c1,0.2131886770478779,0.14538171984511025,-0.06780695720276764,0.1588413109112739,10.555260592672537,6.545250963701373,0.2447839949856531,nan,nan,nan,-1,inf,inf,0,0
ou_alpha0_nu0.25,0,known,25,7,mean,0.26799418107294054,0.11929952936716218,-0.14869465170577836,0.23751094030099484,9.871754000169872,7.57815037615312,0.25,0.05351208594332342,0.3800067789966009,0.3264946930532775,1,inf,inf,0,0
ou_alpha0_nu0.25,0,known,25,7,sigmoid,0.26258063840905604,0.11535833535532254,-0.14722230305373352,0.23234368630721877,9.871754000169872,7.57815037615312,0.25,0.052276325748930215,0.36647531413232426,0.31419898838339405,1,inf,inf,0,0
ou_alpha0_nu0.25,0,known,25,7,occ_c0,0.24401651828426504,0.10042800276024082,-0.14358851552402424,0.21556679190113867,9.871754000169872,7.57815037615312,0.25,0.04675813128388033,0.3174250347571943,0.27066690347331396,1,inf,inf,0,0
ou_alpha0_nu0.25,0,known,25,7,occ_c1,0.2131886770478779,0.09412644385581952,-0.11906223319205837,0.13989240938051473,9.871754000169872,7.57815037615312,0.25,0.0918093763309485,0.22756090256396438,0.1357515262330159,1,inf,inf,0,0
ou_alpha0_nu0.25,0,estimated,25,7,mean,0.26799418107294054,0.11947107773501149,-0.14852310333792906,0.23756653986121196,9.863050738654012,7.577980294807457,0.24259865592800106,nan,nan,nan,-1,inf,inf,0,0
ou_alpha0_nu0.25,0,estimated,25,7,sigmoid,0.26258063840905604,0.11552975685079794,-0.1470508815582581,0.23239980059536136,9.863050738654012,7.577980294807457,0.24259865592800106,nan,nan,nan,-1,inf,inf,0,0
ou_alpha0_nu0.25,0,estimated,25,7,occ_c0,0.24401651828426504,0.10059857234795146,-0.14341794593631357,0.2156186575220938,9.863050738654012,7.577980294807457,0.24259865592800106,nan,nan,nan,-1,inf,inf,0,0
ou_alpha0_nu0.25,0,estimated,25,7,occ_c1,0.2131886770478779,0.09389796919340924,-0.11929070785446864,0.141021653385472,9.863050738654012,7.577980294807457,0.24259865592800106,nan,nan,nan,-1,inf,inf,0,0
ou_alpha0_nu0.25,0,known,25,18,mean,0.26799418107294054,0.29172170668876163,0.023727525615821088,0.3487531732308842,12.129414877335705,6.104281694438237,0.25,0.17702412202835155,0.4839158222584646,0.30689170023011303,1,inf,inf,0,0
