r_max,scale,e_norm,dV_mean,dV_sigmoid,dV_occ_c0,dV_occ_c1
0.3,1e-06,1.000000000000688e-06,2.2480418505888e-09,2.0649198742677308e-10,3.5929788808527117e-10,1.3671550491816304e-10
0.3,2.7312637228008467e-06,2.7312637228017666e-06,6.477761304672184e-09,5.95905228749823e-10,1.0398536128807442e-09,4.0135227415832865e-10
0.3,7.459801523487941e-06,7.459801523486989e-06,1.711175734673646e-08,1.5727102270664261e-09,2.739600899609451e-09,1.0457127612613359e-09
0.3,2.037468528039706e-05,2.0374685280397215e-05,4.0147882291128684e-08,3.6818180811140172e-09,6.3890286203354315e-09,2.3907409400549434e-09
0.3,5.564863876983289e-05,5.5648638769834295e-05,1.479432590688797e-07,1.3576290463044917e-08,2.3580929250169767e-08,8.760409612139364e-09
0.3,0.0001519911082952933,0.00015199110829529447,2.9729910874428297e-07,2.7294030122774113e-08,4.744631307071247e-08,1.780261029496466e-08
0.3,0.0004151278002752295,0.0004151278002752298,1.0807474126716306e-06,9.918465936707004e-08,1.7229999436675175e-07,6.429337539685942e-08
0.3,0.0011338235012178484,0.001133823501217847,3.2456956412352243e-06,2.98183678877021e-07,5.190200155763316e-07,1.9713776627722107e-07
0.3,0.0030967709969353515,0.0030967709969353502,7.152306550948136e-06,6.562803049666871e-07,1.1396820898794864e-06,4.2279865699691145e-07
0.3,0.008458098281751338,0.008458098281751337,2.0318225574966764e-05,1.8623709042607922e-06,3.227615967638676e-06,1.1854700619644275e-06
0.3,0.02310129700083158,0.023101297000831585,6.330835353786853e-05,5.809828150076113e-06,1.0091754899862968e-05,3.7767078192361044e-06
0.3,0.06309573444801933,0.06309573444801933,0.0001807023267117074,1.66000792754176e-05,2.889068006102236e-05,1.0857518011386935e-05
0.9,1e-06,1.0000000000032572e-06,2.490341845703033e-09,2.400929758246869e-10,4.880422889893173e-10,2.497200835005486e-10
0.9,2.7312637228008467e-06,2.731263722797502e-06,6.953286981377834e-09,6.444435927029553e-10,1.1600395801355154e-09,5.408561185721306e-10
0.9,7.459801523487941e-06,7.459801523489895e-06,2.0094521122985635e-08,1.9564004217579683e-09,4.1070986001034985e-09,2.1100867550934617e-09
0.9,2.037468528039706e-05,2.0374685280405726e-05,3.644689839377158e-08,3.4367336425774237e-09,6.801335736735433e-09,3.5554139093489184e-09
0.9,5.564863876983289e-05,5.564863876983308e-05,1.3085436277315842e-07,1.2405296845087917e-08,2.3930339968410617e-08,1.2093974879195945e-08
0.9,0.0001519911082952933,0.00015199110829529165,3.3293843226811504e-07,3.2232138997417835e-08,6.565388182324291e-08,3.338693072794478e-08
0.9,0.0004151278002752295,0.00041512780027522825,1.0059187163254564e-06,9.59036911699999e-08,1.8735252798283512e-07,9.260160234366802e-08
0.9,0.0011338235012178484,0.0011338235012178588,2.8924637025677197e-06,2.754827185963889e-07,5.5922869925303e-07,2.880410150618573e-07
0.9,0.0030967709969353515,0.003096770996935352,7.152953410505259e-06,6.96304169504891e-07,1.477278795124215e-06,7.507966312835651e-07
0.9,0.008458098281751338,0.00845809828175134,1.687130693751223e-05,1.6042354187129533e-06,3.1544154171656014e-06,1.623148232101033e-06
0.9,0.02310129700083158,0.023101297000831585,5.3168095604048485e-05,5.131955008825378e-06,1.0781570319689607e-05,5.45257740737747e-06
0.9,0.06309573444801933,0.06309573444801934,0.00017059484482443988,1.626144198570087e-05,3.171163049328629e-05,1.5594074283812923e-05
0.99,1e-06,1.0000000000129867e-06,2.4153613479664197e-09,2.6315332413151536e-10,1.1374719129560635e-09,6.7694054944889e-10
0.99,2.7312637228008467e-06,2.731263722795665e-06,7.367144649883528e-09,7.985715056816704e-10,3.0811346187394524e-09,1.8393572183879788e-09
