r_max,scale,e_norm,dV_mean,dV_sigmoid,dV_occ_c0,dV_occ_c1
0.3,1e-05,1.0000000000000104e-05,2.25461628903037e-08,2.0723341128845925e-09,3.6104337533104242e-09,1.384004854883096e-09
0.3,1.9952623149688786e-05,1.9952623149689545e-05,4.6778814576618756e-08,4.3008747841995555e-09,7.496981509029499e-09,2.8764019649419812e-09
0.3,3.9810717055349695e-05,3.981071705535018e-05,8.216763531417037e-08,7.538690080933878e-09,1.3091820713238486e-08,4.909553312092314e-09
0.3,7.943282347242822e-05,7.943282347242918e-05,2.0094931725712222e-07,1.845007655003252e-08,3.207786278408564e-08,1.2011384527364084e-08
0.3,0.00015848931924611142,0.00015848931924611212,3.701285678173877e-07,3.39514965587125e-08,5.8924384355955176e-08,2.1821294254376933e-08
0.3,0.00031622776601683794,0.00031622776601683686,8.52320785933551e-07,7.829789118254678e-08,1.3626854503314552e-07,5.172180082507836e-08
0.3,0.000630957344480193,0.000630957344480193,1.480473386025749e-06,1.3582861824778039e-07,2.3582363524654245e-07,8.765285008701523e-08
0.3,0.0012589254117941675,0.001258925411794169,2.96891931090143e-06,2.7218781032888834e-07,4.7190089084311016e-07,1.7498215870276856e-07
0.3,0.0025118864315095794,0.002511886431509578,7.617253680548657e-06,6.997253350407833e-07,1.2177102473866566e-06,4.6033290674078135e-07
0.3,0.005011872336272719,0.00501187233627272,1.2260153654560478e-05,1.1254287347396784e-06,1.9559263738447905e-06,7.331652986690071e-07
0.3,0.01,0.010000000000000002,2.7546814411886014e-05,2.526059808859887e-06,4.382531401061085e-06,1.623432058603467e-06
0.3,0.01995262314968879,0.01995262314968879,3.867052355617622e-05,3.5488708785569268e-06,6.164702670227208e-06,2.3045077809544147e-06
0.3,0.03981071705534969,0.0398107170553497,9.401205989886894e-05,8.622216517517253e-06,1.4959517701013721e-05,5.506898207525978e-06
0.3,0.07943282347242814,0.07943282347242814,0.00016780271642146733,1.5407363974547147e-05,2.6789728992325425e-05,1.0062524471545366e-05
0.6,1e-05,1.0000000000001092e-05,2.663144846141996e-08,2.462071301782137e-09,4.352461984748201e-09,1.7218875005085148e-09
0.6,1.9952623149688786e-05,1.9952623149691493e-05,4.6108783970794096e-08,4.262866882490807e-09,7.531285114818765e-09,3.0102003309266654e-09
0.6,3.9810717055349695e-05,3.981071705534856e-05,7.786509537144326e-08,7.204315175066839e-09,1.277235292911072e-08,5.199067351028402e-09
0.6,7.943282347242822e-05,7.943282347243028e-05,2.1570226125880443e-07,1.990102005888436e-08,3.500192607367586e-08,1.3802882326647767e-08
0.6,0.00015848931924611142,0.0001584893192461079,3.695701915121252e-07,3.41877461877086e-08,6.055372570243355e-08,2.3921619448676047e-08
0.6,0.00031622776601683794,0.00031622776601684125,8.969144688113217e-07,8.26271355869844e-08,1.4474745521622298e-07,5.669307827677224e-08
0.6,0.000630957344480193,0.0006309573444801932,1.7974731588873278e-06,1.654839924545518e-07,2.896123298587981e-07,1.1183863838416276e-07
0.6,0.0012589254117941675,0.0012589254117941645,2.213993251317173e-06,2.058949717646634e-07,3.687066355176176e-07,1.544240764383715e-07
0.6,0.0025118864315095794,0.0025118864315095786,6.31002670887712e-06,5.814236603056411e-07,1.0193097673295154e-06,4.0465617946057986e-07
0.6,0.005011872336272719,0.005011872336272719,1.1064672970203387e-05,1.0211171277365109e-06,1.79728824342704e-06,7.28489207140956e-07
0.6,0.01,0.01,1.787932315779443e-05,1.6650756018937556e-06,2.996113454981596e-06,1.2606447821975324e-06
0.6,0.01995262314968879,0.019952623149688792,4.117989325539556e-05,3.7798879536516447e-06,6.580669864994764e-06,2.570416233510725e-06
0.6,0.03981071705534969,0.039810717055349686,0.00010514801954347834,9.705201242601055e-06,1.7078321145268942e-05,6.789926730455844e-06
0.6,0.07943282347242814,0.07943282347242814,0.00017469242812091743,1.601606183795558e-05,2.7884985882834726e-05,1.0912192679822606e-05
0.9,1e-05,1.0000000000006938e-05,1.755018421006893e-08,1.6816894718788e-09,3.493629476339355e-09,1.7919809351674143e-09
0.9,1.9952623149688786e-05,1.9952623149688657e-05,4.7719015053293566e-08,4.580795768746593e-09,9.467957506892332e-09,4.994105707971375e-09
0.9,3.9810717055349695e-05,3.981071705535276e-05,7.596775839502356e-08,7.186861887206741e-09,1.5482397796098835e-08,8.11353158096384e-09
0.9,7.943282347242822e-05,7.943282347242727e-05,1.8229582231521492e-07,1.7334417336256624e-08,3.387142209626548e-08,1.6783706159682193e-08
0.9,0.00015848931924611142,0.00015848931924611776,4.286193907895863e-07,4.145208574984211e-08,8.687515634132892e-08,4.521675048959825e-08
0.9,0.00031622776601683794,0.00031622776601684233,7.382369308125969e-07,6.979856969277499e-08,1.3544553706251738e-07,6.632599511132917e-08
0.9,0.000630957344480193,0.0006309573444801878,1.6029166227934931e-06,1.563165870374292e-07,3.3362917503249047e-07,1.720983252434527e-07
0.9,0.0012589254117941675,0.0012589254117941655,2.8411583048476576e-06,2.7172080892291785e-07,5.534579764345654e-07,2.8054297313943876e-07
0.9,0.0025118864315095794,0.0025118864315095794,4.661828866239781e-06,4.479174566026506e-07,9.743030469255148e-07,5.086898765921562e-07
0.9,0.005011872336272719,0.005011872336272714,1.672767692648125e-05,1.6103358850572473e-06,3.2468943319322733e-06,1.6160779236896669e-06
0.9,0.01,0.01,2.5248285657608617e-05,2.4207006224550438e-06,4.80541836531817e-06,2.3693277045976415e-06
0.9,0.01995262314968879,0.019952623149688785,3.8407365427217674e-05,3.6663578840230235e-06,7.310788772986812e-06,3.7478439282418246e-06
0.9,0.03981071705534969,0.0398107170553497,8.652205753443831e-05,8.16864591423154e-06,1.6315706057180857e-05,8.337551815527749e-06
0.9,0.07943282347242814,0.07943282347242812,0.0001549436846824917,1.4691769929141806e-05,2.968248875901136e-05,1.479040789572972e-05
0.99,1e-05,1.0000000000002908e-05,2.0349153292964495e-08,2.1980963868517555e-09,1.0029274958439639e-08,5.99852433176562e-09
0.99,1.9952623149688786e-05,1.9952623149688715e-05,3.9525586248423394e-08,4.2995846775278904e-09,1.9445479230995044e-08,1.1573854743693324e-08
0.99,3.9810717055349695e-05,3.9810717055348895e-05,8.296534290685997e-08,8.964794538657284e-09,3.923339410502602e-08,2.339958375535689e-08
0.99,7.943282347242822e-05,7.943282347243886e-05,1.929164148373186e-07,2.117220677735898e-08,9.730565040388938e-08,5.822475763785084e-08
0.99,0.00015848931924611142,0.0001584893192461176,3.5561688341290143e-07,3.864881038886936e-08,1.805296681881008e-07,1.0806678087567356e-07
0.99,0.00031622776601683794,0.0003162277660168326,6.788594310191964e-07,7.444009492776904e-08,3.542693656211071e-07,2.122540418290214e-07
0.99,0.000630957344480193,0.0006309573444801969,1.2780063557399357e-06,1.390130920243815e-07,6.52212419773035e-07,3.8836144964290995e-07
0.99,0.0012589254117941675,0.001258925411794153,3.2456463335855947e-06,3.522437886538388e-07,1.4935509884773933e-06,8.898463552037273e-07
0.99,0.0025118864315095794,0.0025118864315095872,6.2124631966309355e-06,6.771549445484804e-07,2.7176745750291663e-06,1.6155004419794727e-06
0.99,0.005011872336272719,0.005011872336272714,1.1534335990268097e-05,1.2523203685211453e-06,5.316704792080601e-06,3.1800663793952327e-06
