kernel,label,m,rep,eps_m,I_star,regret_robust,regret_plugin_greedy,regret_plugin_exhaustive,diff_robust_minus_plugin,robust_wins,tie,same_protocol
trait_ou,mean,25,0,0.1708025311795749,0.6907252995047104,0.05841550418095365,0.08030562347935355,0.017857376384350587,-0.0218901192983999,1,0,0
trait_ou,mean,25,1,0.2839690323508117,0.6907252995047104,0.07814855901818174,0.030062967345549252,0.0067132857639981,0.04808559167263249,0,0,0
trait_ou,mean,25,2,0.26394167602049723,0.6907252995047104,0.030579452054223077,0.030013999922933854,0.030579452054223077,0.0005654521312892236,0,0,0
trait_ou,mean,25,3,0.19618213738447032,0.6907252995047104,0.009357104428705854,0.009357104428705854,0.009357104428705854,0.0,0,1,1
trait_ou,mean,25,4,0.21258258008688768,0.6907252995047104,0.028557641561249403,0.08032009886225355,0.08032009886225355,-0.05176245730100415,1,0,0
trait_ou,mean,25,5,0.24203644498298788,0.6907252995047104,0.05385063423486769,0.06502329327775558,0.02782006397919745,-0.01117265904288789,1,0,0
trait_ou,mean,25,6,0.2617785305289376,0.6907252995047104,0.0,0.006429936994737484,0.006429936994737484,-0.006429936994737484,1,0,0
trait_ou,mean,25,7,0.27104367954878117,0.6907252995047104,0.07342498976215028,0.07342498976215028,0.07342498976215028,0.0,0,1,1
trait_ou,mean,25,8,0.12322130341939752,0.6907252995047104,0.04567604779329959,0.0034570449424916605,0.009357104428705854,0.04221900285080793,0,0,0
trait_ou,mean,25,9,0.298933455672251,0.6907252995047104,0.013183901743084814,0.013183901743084814,0.013183901743084814,0.0,0,1,1
trait_ou,mean,25,10,0.14942726944071266,0.6907252995047104,0.031157011141005775,0.021152268599341162,0.021152268599341162,0.010004742541664613,0,0,0
trait_ou,mean,25,11,0.2111803618881618,0.6907252995047104,0.045194045086796586,0.04896170780757403,0.030062967345549252,-0.0037676627207774427,1,0,0
trait_ou,mean,25,12,0.25259032251952146,0.6907252995047104,0.06861677288246903,0.053432533244660796,0.046813645027288575,0.015184239637808239,0,0,0
trait_ou,mean,25,13,0.21251386348646045,0.6907252995047104,0.030013999922933743,0.030013999922933743,0.030013999922933743,0.0,0,1,1
trait_ou,mean,25,14,0.2072363736449856,0.6907252995047104,0.04896170780757403,0.013183901743084814,0.013183901743084814,0.035777806064489215,0,0,0
