arm,display,group,label,rep,tau_hat,I_fit_selected,I_true_selected,I_fit_reference,I_true_reference,I_true_star,ceiling_error_selected,ceiling_error_reference,ceiling_error_uniform,ceiling_signed_selected,design_regret,design_regret_exhaustive,ridge_r2_selected,ridge_r2_oracle,ridge_loss_selected,ridge_regret,protocol_selected,protocol_star
control,OU $\to$ OU (control),correct,mean,0,2.0363398355928664,0.5044852681840577,0.5009103893166198,0.3820663291776002,0.37826575557885156,0.5009103893166198,0.003574878867437903,0.0038005735987486355,0.004678716306102393,0.003574878867437903,0.0,0.0,0.5326179270643394,0.5200075310299095,0.4673820729356606,-0.012610396034429927,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,0,2.0363398355928664,0.4601700957275858,0.45683901792825254,0.34655001947686576,0.3430976496707513,0.45683901792825254,0.003331077799333282,0.0034523698061144636,0.004260135700998535,0.003331077799333282,0.0,0.0,0.4771884073203999,0.451147915986834,0.5228115926796001,-0.026040491333565896,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,1,1.9150810865199688,0.4921959568567401,0.5009103893166198,0.3691168827237598,0.37826575557885156,0.5009103893166198,0.008714432459879684,0.00914887285509175,0.011282210970861795,-0.008714432459879684,0.0,0.0,0.4687562495683363,0.4957474250042678,0.5312437504316637,0.026991175435931547,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,1,1.9150810865199688,0.4487185028975741,0.45683901792825254,0.3347812968450165,0.3430976496707513,0.45683901792825254,0.008120515030678455,0.008316352825734785,0.01027731042139085,-0.008120515030678455,0.0,0.0,0.4409460682942753,0.4619724123178208,0.5590539317057247,0.02102634402354553,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,2,1.9134463397357842,0.49202302661261205,0.5009103893166198,0.3689369755795581,0.37826575557885156,0.5009103893166198,0.00888736270400775,0.009328779999293435,0.011504308230150417,-0.00888736270400775,0.0,0.0,0.5006987073984333,0.4914798926402264,0.49930129260156675,-0.00921881475820685,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,2,1.9134463397357842,0.4485573548017117,0.45683901792825254,0.33461768107195783,0.3430976496707513,0.45683901792825254,0.008281663126540828,0.008479968598793464,0.010479688550337818,-0.008281663126540828,0.0,0.0,0.4484051823719073,0.4306395078824051,0.5515948176280927,-0.01776567448950217,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,3,1.910920146316953,0.4917553991820708,0.5009103893166198,0.36865867585717954,0.37826575557885156,0.5009103893166198,0.009154990134549013,0.009607079721672018,0.011847888301512177,-0.009154990134549013,0.0,0.0,0.46386956252597156,0.484947591800421,0.5361304374740284,0.02107802927444946,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,3,1.910920146316953,0.4483079612908246,0.45683901792825254,0.3343645765917353,0.3430976496707513,0.45683901792825254,0.008531056637427925,0.008733073079015996,0.010792768288296561,-0.008531056637427925,0.0,0.0,0.43539408519220946,0.4423365928078373,0.5646059148077905,0.006942507615627869,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,4,1.8976303244312689,0.4903394886980812,0.5009103893166198,0.36718882941667214,0.37826575557885156,0.5009103893166198,0.010570900618538603,0.011076926162179423,0.013662831299905476,-0.010570900618538603,0.0,0.0,0.513488958508654,0.5182848167505341,0.48651104149134605,0.004795858241880113,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,4,1.8976303244312689,0.44698851614362123,0.45683901792825254,0.3330276786244688,0.3430976496707513,0.45683901792825254,0.009850501784631316,0.010069971046282489,0.012446691053334069,-0.009850501784631316,0.0,0.0,0.4619209404500252,0.4602699168009393,0.5380790595499748,-0.0016510236490858698,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,5,1.9607064086414199,0.4969425038037882,0.5009103893166198,0.3740798291760348,0.37826575557885156,0.5009103893166198,0.003967885512831615,0.004185926402816786,0.005158863701008487,-0.003967885512831615,0.0,0.0,0.48054108939843676,0.4908945771005714,0.5194589106015632,0.010353487702134623,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,5,1.9607064086414199,0.4531416106279822,0.45683901792825254,0.3392936201707537,0.3430976496707513,0.45683901792825254,0.00369740730027035,0.0038040294999975854,0.0046985865605134736,-0.00369740730027035,0.0,0.0,0.41108966306296657,0.43150026185595236,0.5889103369370334,0.02041059879298579,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,6,1.9384860358857607,0.4946499469618643,0.5009103893166198,0.37167674039327425,0.37826575557885156,0.5009103893166198,0.00626044235475548,0.006589015185577307,0.008122963038534325,-0.00626044235475548,0.0,0.0,0.5185947097246062,0.5058734045264537,0.4814052902753938,-0.01272130519815251,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,6,1.9384860358857607,0.4510052856376597,0.45683901792825254,0.3371090173569996,0.3430976496707513,0.45683901792825254,0.0058337322905928635,0.005988632313751685,0.0073988220675682,-0.0058337322905928635,0.0,0.0,0.4622645798468863,0.4561873772476879,0.5377354201531137,-0.006077202599198417,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,7,2.0515055053974254,0.5059510733579184,0.5009103893166198,0.3836327472636839,0.37826575557885156,0.5009103893166198,0.005040684041298649,0.005366991684832345,0.00660548724663973,0.005040684041298649,0.0,0.0,0.4844758159915996,0.5203555687361658,0.5155241840084004,0.03587975274456623,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,7,2.0515055053974254,0.4615358965065832,0.45683901792825254,0.3479725149578648,0.3430976496707513,0.45683901792825254,0.004696878578330677,0.004874865287113506,0.0060142110676663085,0.004696878578330677,0.0,0.0,0.43338099343459235,0.4473250550894112,0.5666190065654076,0.013944061654818873,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,8,1.905692770146735,0.4912000726332281,0.5009103893166198,0.36808168912503714,0.37826575557885156,0.5009103893166198,0.009710316683391673,0.010184066453814422,0.012560279549920339,-0.009710316683391673,0.0,0.0,0.48429549297092966,0.48669071929550833,0.5157045070290703,0.00239522632457867,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,8,1.905692770146735,0.4477904694716546,0.45683901792825254,0.33383980284837445,0.3430976496707513,0.45683901792825254,0.009048548456597971,0.009257846822376847,0.011441937512970346,-0.009048548456597971,0.0,0.0,0.42221668856116135,0.4667335591045447,0.5777833114388387,0.04451687054338338,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,9,2.024224794139016,0.5033033647497182,0.5009103893166198,0.380806724672032,0.37826575557885156,0.5009103893166198,0.0023929754330983544,0.0025409690931804674,0.003128659252179977,0.0023929754330983544,0.0,0.0,0.5206076620940763,0.5155378915214655,0.4793923379059237,-0.005069770572610821,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,9,2.024224794139016,0.459068810166431,0.45683901792825254,0.3454059737473485,0.3430976496707513,0.45683901792825254,0.0022297922381784296,0.0023083240765972013,0.002848875000603046,0.0022297922381784296,0.0,0.0,0.4717050736771252,0.47232149827533276,0.5282949263228748,0.0006164245982075434,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,10,2.074612761786796,0.508155651464744,0.5009103893166198,0.38599753599813613,0.37826575557885156,0.5009103893166198,0.007245262148124154,0.007731780419284573,0.009512436484371278,0.007245262148124154,0.0,0.0,0.5067264491590591,0.49727697129981097,0.49327355084094093,-0.009449477859248101,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,10,2.074612761786796,0.4635900175905142,0.45683901792825254,0.35011957038302277,0.3430976496707513,0.45683901792825254,0.00675099966226167,0.007021920712271479,0.00866026012568083,0.00675099966226167,0.0,0.0,0.4400010096555528,0.46565449959147776,0.5599989903444472,0.025653489935924978,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,11,2.0318995062562855,0.5040532209344354,0.5009103893166198,0.3816055240910309,0.37826575557885156,0.5009103893166198,0.003142831617815589,0.0033397685121793197,0.004111723373129039,0.003142831617815589,0.0,0.0,0.4873177827809696,0.4865394747029027,0.5126822172190304,-0.0007783080780668916,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,11,2.0318995062562855,0.45976752022843603,0.45683901792825254,0.34613150755299055,0.3430976496707513,0.45683901792825254,0.0029285023001834887,0.003033857882239255,0.0037439267681573796,0.0029285023001834887,0.0,0.0,0.4303685100867326,0.44219064218507,0.5696314899132674,0.011822132098337379,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,12,2.0999619047046196,0.5105349635462149,0.5009103893166198,0.38856179143443564,0.37826575557885156,0.5009103893166198,0.009624574229595062,0.010296035855584085,0.01266193053394854,0.009624574229595062,0.0,0.0,0.5053331506011947,0.49825028565390017,0.49466684939880534,-0.007082864947294487,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,12,2.0999619047046196,0.4658068713334362,0.45683901792825254,0.35244710208159474,0.3430976496707513,0.45683901792825254,0.008967853405183634,0.00934945241084345,0.011526606404930029,0.008967853405183634,0.0,0.0,0.463748006369334,0.4588387548902607,0.536251993630666,-0.004909251479073284,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,13,2.0230874912778662,0.5031919090268386,0.5009103893166198,0.38068809902190615,0.37826575557885156,0.5009103893166198,0.002281519710218838,0.0024223434430545865,0.00298264912741103,0.002281519710218838,0.0,0.0,0.4898565949795727,0.4965136127456109,0.5101434050204273,0.00665701776603822,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,13,2.0230874912778662,0.458964956111081,0.45683901792825254,0.34529822310774155,0.3430976496707513,0.45683901792825254,0.0021259381828284685,0.0022005734369902608,0.002715932849288616,0.0021259381828284685,0.0,0.0,0.444640626367247,0.42753558512763157,0.555359373632753,-0.017105041239615426,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,14,2.019825118557178,0.5028717134888284,0.5009103893166198,0.380347456116689,0.37826575557885156,0.5009103893166198,0.0019613241722086228,0.002081700537837461,0.002563340735970643,0.0019613241722086228,0.0,0.0,0.5119339861935104,0.5136341470164302,0.4880660138064896,0.001700160822919794,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,14,2.019825118557178,0.4586665983294533,0.45683901792825254,0.34498880105178914,0.3430976496707513,0.45683901792825254,0.0018275804012007346,0.0018911513810378477,0.002334146848231411,0.0018275804012007346,0.0,0.0,0.45394091905310185,0.48681421117447565,0.5460590809468981,0.0328732921213738,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,15,1.8513449336503702,0.4853012533240176,0.5009103893166198,0.36199294727648584,0.37826575557885156,0.5009103893166198,0.015609135992602219,0.016272808302365716,0.020082486144188005,-0.015609135992602219,0.0,0.0,0.5125621282120476,0.5340559083325889,0.4874378717879524,0.02149378012054126,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,15,1.8513449336503702,0.4422935102113659,0.45683901792825254,0.328300147362068,0.3430976496707513,0.45683901792825254,0.014545507716886619,0.014797502308683319,0.018298093406006743,-0.014545507716886619,0.0,0.0,0.4485711908558955,0.4603199742472355,0.5514288091441045,0.01174878339134,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,16,1.8394381463884497,0.4839776144195932,0.5009103893166198,0.360636707749891,0.37826575557885156,0.5009103893166198,0.016932774897026603,0.017629047828960576,0.021759025855555003,-0.016932774897026603,0.0,0.0,0.5188630203300058,0.5159267741546121,0.48113697966999425,-0.0029362461753936753,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,16,1.8394381463884497,0.44106004348248845,0.45683901792825254,0.3270657444646758,0.3430976496707513,0.45683901792825254,0.015778974445764093,0.016031905206075503,0.019826561225305073,-0.015778974445764093,0.0,0.0,0.4543984631452276,0.4598386628667904,0.5456015368547724,0.005440199721562844,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,17,1.906666855460133,0.4913037109802823,0.5009103893166198,0.3681893201948293,0.37826575557885156,0.5009103893166198,0.009606678336337493,0.010076435384022253,0.01242738388751169,-0.009606678336337493,0.0,0.0,0.505181749734819,0.4826373405370771,0.494818250265181,-0.02254440919774192,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,17,1.906666855460133,0.447887046937501,0.45683901792825254,0.33393769648530625,0.3430976496707513,0.45683901792825254,0.008951970990751568,0.009159953185445047,0.01132083394746608,-0.008951970990751568,0.0,0.0,0.48348264029581667,0.4759374435011652,0.5165173597041833,-0.0075451967946514875,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,18,2.010975713431191,0.5019995392638986,0.5009103893166198,0.37942071890406975,0.37826575557885156,0.5009103893166198,0.0010891499472788224,0.0011549633252181946,0.001422376184142815,0.0010891499472788224,0.0,0.0,0.48218660850784145,0.4897759209010376,0.5178133914921585,0.007589312393196157,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,18,2.010975713431191,0.45785390249098856,0.45683901792825254,0.34414694484395597,0.3430976496707513,0.45683901792825254,0.0010148845627360181,0.0010492951732046785,0.0012952387748401684,0.0010148845627360181,0.0,0.0,0.45697173745110087,0.4539641087614382,0.5430282625488991,-0.0030076286896626447,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,mean,19,2.0910989569227265,0.509707668769151,0.5009103893166198,0.3876687705396776,0.37826575557885156,0.5009103893166198,0.00879727945253117,0.009403014960826017,0.011565418494180468,0.00879727945253117,0.0,0.0,0.5278378354215221,0.5018838968169841,0.4721621645784779,-0.025953938604537985,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
control,OU $\to$ OU (control),correct,occupation,19,2.0910989569227265,0.46503607349766907,0.45683901792825254,0.3516365961055253,0.3430976496707513,0.45683901792825254,0.008197055569416523,0.008538946434773986,0.01052873033585583,0.008197055569416523,0.0,0.0,0.4381758557303128,0.4776977199558554,0.5618241442696872,0.0395218642255426,t12.00+t15.00+t17.00+t18.50,t12.00+t15.00+t17.00+t18.50
