route,label,budget,D,M,ceiling_dispersed_mean,ceiling_consecutive_mean
nonparametric,REM,4,1,4,0.01857084265011136,0.02000104543485006
nonparametric,REM,4,2,2,0.08147967666597314,0.034701893045711696
nonparametric,REM,4,4,1,0.20193988288955408,0.06726632529167498
nonparametric,REM,8,1,8,0.019023917530554192,0.020492442833205875
nonparametric,REM,8,2,4,0.08404544509287502,0.03830839159130333
nonparametric,REM,8,4,2,0.21733622609303946,0.07468822173696307
nonparametric,REM,8,8,1,0.41343736977331147,0.14608095189429537
nonparametric,REM,16,2,8,0.08539651583137234,0.04071361602066054
nonparametric,REM,16,4,4,0.22608267540778218,0.07986823543444725
nonparametric,REM,16,8,2,0.44263772496153814,0.1644685514024043
nonparametric,REM,16,16,1,0.6480841591893169,0.327661567804331
nonparametric,REM,32,4,8,0.23076878163826908,0.08314687399760479
nonparametric,REM,32,8,4,0.45919764447310607,0.1783144803506376
nonparametric,REM,32,16,2,0.6932390491835432,0.36650421201198463
nonparametric,REM,32,32,1,0.8513283586607956,0.6839211120349296
nonparametric,REM,64,8,8,0.46806626562218945,0.18762528017914898
nonparametric,REM,64,16,4,0.7199484998699135,0.39587291666741564
nonparametric,REM,64,32,2,0.8949622648019006,0.7322290971606111
nonparametric,REM,64,64,1,0.9323952034818639,0.8898011715145575
nonparametric,N3,4,1,4,0.11486600138775738,0.10064236181568945
nonparametric,N3,4,2,2,0.24118691042618673,0.13108005147686158
nonparametric,N3,4,4,1,0.4403405843512143,0.15711445845013436
nonparametric,N3,8,1,8,0.11786614031390341,0.10321423018188343
nonparametric,N3,8,2,4,0.25962687943754664,0.13835281542610453
nonparametric,N3,8,4,2,0.4834448456354874,0.1713411071842397
nonparametric,N3,8,8,1,0.5377689559140119,0.19908239642180584
nonparametric,N3,16,2,8,0.2703787354173463,0.14295184641191075
nonparametric,N3,16,4,4,0.5089454913756082,0.18263380652573058
nonparametric,N3,16,8,2,0.6091367587458043,0.2155623222626463
nonparametric,N3,16,16,1,0.7656067434326338,0.35462208468976375
nonparametric,N3,32,4,8,0.522955472775702,0.1911522348748332
nonparametric,N3,32,8,4,0.6548287172186253,0.22865431646848727
nonparametric,N3,32,16,2,0.8242101592941868,0.39534824659121004
nonparametric,N3,32,32,1,0.9153526904469066,0.6094931285631411
nonparametric,N3,64,8,8,0.6813719313721444,0.238476407660011
nonparametric,N3,64,16,4,0.8598162320474968,0.4302473153859331
nonparametric,N3,64,32,2,0.949363238370068,0.6573523380680293
nonparametric,N3,64,64,1,0.9581664349699764,0.9077210384863841
nonparametric,wake,4,1,4,0.07989901879949265,0.10125003194848445
nonparametric,wake,4,2,2,0.5133181077440881,0.1149647810279539
nonparametric,wake,4,4,1,0.6923318678284248,0.11828620012494798
nonparametric,wake,8,1,8,0.08384863169557384,0.10650266304713854
nonparametric,wake,8,2,4,0.5406845677460039,0.12521039086108385
nonparametric,wake,8,4,2,0.7283838524566603,0.1307700423960279
nonparametric,wake,8,8,1,0.758258593841761,0.18898156807661284
nonparametric,wake,16,2,8,0.5555368354510726,0.1322509293375456
nonparametric,wake,16,4,4,0.7482144750817225,0.1400878067520418
nonparametric,wake,16,8,2,0.8026556976087287,0.21409699201869933
nonparametric,wake,16,16,1,0.9074278039632839,0.35442694539994013
nonparametric,wake,32,4,8,0.7586503258172053,0.14674710793293194
nonparametric,wake,32,8,4,0.8278194293847545,0.23430893216916937
nonparametric,wake,32,16,2,0.93461478029504,0.3894362244438515
nonparametric,wake,32,32,1,0.9590551770275633,0.6567009930689716
nonparametric,wake,64,8,8,0.8413665906278481,0.24914543399650216
nonparametric,wake,64,16,4,0.9497971865130918,0.41653272418026593
nonparametric,wake,64,32,2,0.9745580863074238,0.6984034222029637
nonparametric,wake,64,64,1,0.9823084835589269,0.9011097777005158
gaussian_latent,REM,4,1,4,0.03496321137084851,0.03412622728589188
gaussian_latent,REM,4,2,2,0.08756310702710031,0.043598250319641756
gaussian_latent,REM,4,4,1,0.15326049394678862,0.06832477244665396
gaussian_latent,REM,8,1,8,0.036632169927409045,0.03581582249615474
