label,budget,method,r2_mean,r2_sd,selection_score_train_mean,relative_efficiency,best_method_at_budget
REM,4,consecutive,0.5211576942308136,0.3891872951975129,0.04057524452404742,0.8452323674272667,imse
REM,4,uniform,0.5824974011968727,0.31454593598534764,0.13248419706200512,0.9447153191521527,imse
REM,4,random,0.5632553378347716,0.34119642902794306,0.11716146847060416,0.9135078459635652,imse
REM,4,imse,0.616585112348599,0.1518056403965307,0.2704200713400174,1.0,imse
REM,4,kernel_quadrature,0.4533002382248301,0.3204322798109691,0.40767829014803086,0.7351786949545216,imse
REM,4,label_aware,0.466465579589746,0.3847679070537834,0.4402302664203571,0.7565307209785826,imse
REM,8,consecutive,0.523598413511737,0.38454145006110146,0.07326029527753189,0.8496041491746281,imse
REM,8,uniform,0.5405595692675667,0.2925818831039863,0.20589841455491392,0.8771257533909232,imse
REM,8,random,0.5886607598733962,0.29763264136542184,0.21759397815186893,0.9551759729186344,imse
REM,8,imse,0.6162851417573718,0.15915309807490752,0.4215054033924489,1.0,imse
REM,8,kernel_quadrature,0.43410877848926743,0.36193201194184127,0.5546137507455675,0.7043959834101822,imse
REM,8,label_aware,0.49676933179265603,0.43842332538642403,0.6259224564942781,0.8060705964386717,imse
REM,16,consecutive,0.5324011651691107,0.3902498050108014,0.15317874018838656,0.7486531608095668,imse
REM,16,uniform,0.6333587148373122,0.2730904116296262,0.4513638353104989,0.8906178926911735,imse
REM,16,random,0.6369906888284456,0.2308045765275553,0.41004410714657036,0.8957251106807819,imse
REM,16,imse,0.7111452846781428,0.1120134674215599,0.610101128803285,1.0,imse
REM,16,kernel_quadrature,0.5122250500838972,0.35338122740519545,0.7330134507761689,0.7202818623985183,imse
REM,16,label_aware,0.5819646315083997,0.317533788124538,0.8006164602277422,0.8183484360327175,imse
REM,32,consecutive,0.6377475947636931,0.3039593587453029,0.47926905620684523,0.7809305326103648,imse
REM,32,uniform,0.7665712650942463,0.12870576259900457,0.7041146613879292,0.938676854682089,imse
REM,32,random,0.686306860284578,0.19804824108060556,0.649439506410869,0.8403920082752694,imse
REM,32,imse,0.8166508647471324,0.0937977185277006,0.8197083747965161,1.0,imse
REM,32,kernel_quadrature,0.7039722774262478,0.24537312847824413,0.8760424260067834,0.86202354986084,imse
REM,32,label_aware,0.7154948219503695,0.1819840391188191,0.9138402252886466,0.8761330610626551,imse
REM,64,consecutive,0.8124586214751475,0.1659909106636619,0.8666202048420427,0.9054308714310345,imse
REM,64,uniform,0.8531650224599263,0.09961759834401297,0.904152433653682,0.9507954366436604,imse
REM,64,random,0.799406841980035,0.11008747811904251,0.8606116260812433,0.890885534881428,imse
REM,64,imse,0.8973171195179768,0.0526529841470068,0.9459064209796301,1.0,imse
REM,64,kernel_quadrature,0.8744172805380861,0.05756077932277246,0.9550791118315045,0.97447965888337,imse
REM,64,label_aware,0.847729669823118,0.08367970038926745,0.973443131044975,0.9447380991443736,imse
N3,4,consecutive,0.46381270387883256,0.3777722179598207,0.21482656374411319,0.7898599749160549,label_aware
N3,4,uniform,0.41236073500167664,0.3704938128270371,0.11558457108728164,0.7022387206752292,label_aware
N3,4,random,0.46202769055325527,0.32032314781403415,0.20944887718285238,0.7868201474840456,label_aware
N3,4,imse,0.536003079491021,0.22118245036753062,0.47983432808306253,0.9127981518856962,label_aware
N3,4,kernel_quadrature,0.5147653370194807,0.11614322666444202,0.5314777556442905,0.876630874457636,label_aware
N3,4,label_aware,0.5872087694127378,0.12205084147361765,0.5937831007467467,1.0,label_aware
N3,8,consecutive,0.49796874886685877,0.31812645460243055,0.3013779401243707,0.6916497809063222,label_aware
N3,8,uniform,0.5805613880489103,0.23839470877220664,0.41892944645550767,0.8063661781194622,label_aware
N3,8,random,0.5437984352667379,0.25014519578246297,0.3803773576771895,0.7553045637207292,label_aware
N3,8,imse,0.6510648305916673,0.16137457485236753,0.577355685304982,0.9042913806523569,label_aware
N3,8,kernel_quadrature,0.63341236748211,0.1521534560965998,0.7093831559227655,0.8797731307220855,label_aware
N3,8,label_aware,0.719972394431083,0.0962725111402897,0.7721779992894773,1.0,label_aware
N3,16,consecutive,0.49909397419689816,0.35417282583068244,0.3779592772214512,0.6015691118732845,label_aware
N3,16,uniform,0.7072007500727462,0.16212525791290872,0.659069825301072,0.8524048558629674,label_aware
N3,16,random,0.6619248464755227,0.1537253145280705,0.5952910684619317,0.7978327982458242,label_aware
N3,16,imse,0.7456681359540576,0.09518264744658758,0.7835485308151544,0.8987704550428488,label_aware
N3,16,kernel_quadrature,0.7668934912105538,0.08423996348293031,0.859252648397001,0.9243538496959128,label_aware
N3,16,label_aware,0.8296535914929557,0.031417273046382914,0.9137540677972747,1.0,label_aware
N3,32,consecutive,0.5936606192505438,0.3461310891948659,0.5890495312466076,0.6557337925895693,label_aware
N3,32,uniform,0.852046510564859,0.08901576767203008,0.8591657976843947,0.9411365209650325,label_aware
N3,32,random,0.7713093083218588,0.10269005164864924,0.8027976903025245,0.8519574342728591,label_aware
N3,32,imse,0.8500208006659424,0.07086733436068862,0.9160441937910304,0.9388990027742862,label_aware
N3,32,kernel_quadrature,0.8440033818833861,0.06550367770992203,0.9366950272387953,0.9322524024913388,label_aware
N3,32,label_aware,0.90533784587509,0.024241158925328035,0.9720225439852831,1.0,label_aware
N3,64,consecutive,0.8479905005640521,0.08137999750554933,0.9012515123820541,0.9131192600440082,kernel_quadrature
N3,64,uniform,0.9233260225734112,0.05073604197677893,0.9619628715931434,0.9942408245738682,kernel_quadrature
N3,64,random,0.8968767010761274,0.029975032102939607,0.9369582717790014,0.965760098836727,kernel_quadrature
N3,64,imse,0.9285035820922241,0.018222250478332924,0.9739378822632639,0.9998160395243983,kernel_quadrature
N3,64,kernel_quadrature,0.9286744214804787,0.02731485537601422,0.9764105149949955,1.0,kernel_quadrature
N3,64,label_aware,0.912225958563333,0.029375715647233656,0.989926222042226,0.982288235212806,kernel_quadrature
wake,4,consecutive,0.9433199619825935,0.03448302359994922,0.04422019504920806,0.986073223052715,uniform
wake,4,uniform,0.9566429144706265,0.02124061063906155,0.25899887721689063,1.0,uniform
wake,4,random,0.9503696137202164,0.028007703731523392,0.17237518344749353,0.9934423799564945,uniform
wake,4,imse,0.952533901435482,0.026729313175934823,0.24003831405725068,0.9957047577805787,uniform
wake,4,kernel_quadrature,0.9434921394763792,0.037785476596112776,0.38693066647724783,0.9862532039956367,uniform
wake,4,label_aware,0.9425129565041057,0.02968171998968091,0.4498652470172635,0.985229642374616,uniform
wake,8,consecutive,0.9432707032553704,0.03571240501772574,0.07864973330308288,0.9816384447644098,imse
wake,8,uniform,0.9589313384306347,0.020386977242089224,0.31778741499138946,0.9979360796897969,imse
wake,8,random,0.9566443091342688,0.022505021365126367,0.305320183168674,0.9955560249781776,imse
wake,8,imse,0.9609145895684155,0.020729341785625216,0.4640615334771903,1.0,imse
wake,8,kernel_quadrature,0.9504164451054574,0.02960693802780839,0.5752497728939276,0.9890748412221807,imse
wake,8,label_aware,0.9538274089031663,0.021927041378545044,0.6598428332114906,0.9926245467160278,imse
wake,16,consecutive,0.9444511542384773,0.03366436331018596,0.16728227986657987,0.9690201844815545,imse
wake,16,uniform,0.9635220042995509,0.011936759089654516,0.5503915800411864,0.9885871452094519,imse
wake,16,random,0.9642261649777544,0.018293281576020094,0.5119416796245234,0.989309623981631,imse
wake,16,imse,0.9746454917693772,0.014229238319813087,0.6933785984726588,1.0,imse
wake,16,kernel_quadrature,0.9696306426034507,0.013660221723804421,0.7949638769094748,0.9948546941341486,imse
wake,16,label_aware,0.9708103658614876,0.012493478634346937,0.8395742682684112,0.9960651068103468,imse
wake,32,consecutive,0.9446298993504219,0.0339259617981831,0.286853696413757,0.95689318730298,uniform
wake,32,uniform,0.9871842666294631,0.0022301658536798127,0.8489173867806314,1.0,uniform
wake,32,random,0.9773238074690236,0.010226396645205534,0.7495898731343636,0.9900115312877645,uniform
wake,32,imse,0.9793305473665436,0.014949252119141828,0.8459181442228827,0.9920443229005923,uniform
wake,32,kernel_quadrature,0.9823263112847901,0.008799640157468827,0.9046482398404858,0.9950789781514048,uniform
wake,32,label_aware,0.9795385458866882,0.008784786630000468,0.942378434854213,0.9922550216801169,uniform
wake,64,consecutive,0.9759867816824016,0.01682753320147079,0.7898550609769024,0.9817146039855253,uniform
wake,64,uniform,0.9941654913965117,0.0021453524817948537,0.9563831386098942,1.0,uniform
wake,64,random,0.9885633049928291,0.0041472818699804575,0.9191320115602883,0.9943649357655604,uniform
wake,64,imse,0.9911358571753752,0.0045321509279543015,0.9472146590807087,0.9969525856134066,uniform
wake,64,kernel_quadrature,0.9899831720649075,0.005133065169902294,0.9605909626144052,0.9957931356823407,uniform
wake,64,label_aware,0.9898300953057566,0.004710813300866744,0.9841662986372451,0.9956391605539787,uniform
