cohort,label_model,p,method,n_windows,width_minutes,total_minutes,resolution_limited,ceiling
strict,indicator_linear,128,contiguous,1,1.0,1.0,1,0.6671552533616383
strict,indicator_linear,128,contiguous_block,1,1.0,1.0,1,0.6671552533616383
strict,indicator_linear,128,dispersed,1,1.0,1.0,1,0.6671552533616383
strict,indicator_linear,128,uniform,1,1.0,1.0,1,0.585743698623635
strict,indicator_linear,128,random,1,1.0,1.0,1,0.8374377070517373
strict,indicator_linear,128,label_aware,1,1.0,1.0,1,0.8549574132056359
strict,indicator_linear,128,mutual_information,1,1.0,1.0,1,0.585743698623635
strict,indicator_linear,128,imse,1,1.0,1.0,1,0.8549574132056359
strict,indicator_linear,128,kernel_quadrature,1,1.0,1.0,1,0.8549574132056359
strict,indicator_linear,128,contiguous,2,1.0,2.0,1,0.6780974083894987
strict,indicator_linear,128,contiguous_block,2,1.0,2.0,1,0.6671552533616383
strict,indicator_linear,128,dispersed,2,1.0,2.0,1,0.9177767139116763
strict,indicator_linear,128,uniform,2,1.0,2.0,1,0.8715312369467295
strict,indicator_linear,128,random,2,1.0,2.0,1,0.9366761591158485
strict,indicator_linear,128,label_aware,2,1.0,2.0,1,0.9499089562514716
strict,indicator_linear,128,mutual_information,2,1.0,2.0,1,0.83305064691814
strict,indicator_linear,128,imse,2,1.0,2.0,1,0.9499089562514716
strict,indicator_linear,128,kernel_quadrature,2,1.0,2.0,1,0.9499089562514716
strict,indicator_linear,128,contiguous,4,1.0,4.0,1,0.6780974083894867
strict,indicator_linear,128,contiguous_block,4,1.0,4.0,1,0.6671552533616383
strict,indicator_linear,128,dispersed,4,1.0,4.0,1,0.9824251373895613
strict,indicator_linear,128,uniform,4,1.0,4.0,1,0.9648698911110026
strict,indicator_linear,128,random,4,1.0,4.0,1,0.9737724832869304
strict,indicator_linear,128,label_aware,4,1.0,4.0,1,0.9856587885413305
strict,indicator_linear,128,mutual_information,4,1.0,4.0,1,0.9730402901496403
strict,indicator_linear,128,imse,4,1.0,4.0,1,0.9830330617868727
strict,indicator_linear,128,kernel_quadrature,4,1.0,4.0,1,0.9830949909484832
strict,indicator_linear,128,contiguous,8,1.0,8.0,1,0.6780974083895136
strict,indicator_linear,128,contiguous_block,8,1.0,8.0,1,0.6671552533616383
strict,indicator_linear,128,dispersed,8,1.0,8.0,1,0.9961532365955009
strict,indicator_linear,128,uniform,8,1.0,8.0,1,0.9902064807987178
strict,indicator_linear,128,random,8,1.0,8.0,1,0.9916457837572947
strict,indicator_linear,128,label_aware,8,1.0,8.0,1,0.9968490964714403
strict,indicator_linear,128,mutual_information,8,1.0,8.0,1,0.9917347517965043
strict,indicator_linear,128,imse,8,1.0,8.0,1,0.9941833169834857
strict,indicator_linear,128,kernel_quadrature,8,1.0,8.0,1,0.9944893191616765
strict,indicator_linear,128,contiguous,16,1.0,16.0,1,0.6780974083895356
strict,indicator_linear,128,contiguous_block,16,1.0,16.0,1,0.6718809514136084
strict,indicator_linear,128,dispersed,16,1.0,16.0,1,0.9985615222834784
strict,indicator_linear,128,uniform,16,1.0,16.0,1,0.9987260633506485
strict,indicator_linear,128,random,16,1.0,16.0,1,0.998495734299194
strict,indicator_linear,128,label_aware,16,1.0,16.0,1,0.99946180452373
strict,indicator_linear,128,mutual_information,16,1.0,16.0,1,0.9975497937560006
strict,indicator_linear,128,imse,16,1.0,16.0,1,0.9988330923576405
strict,indicator_linear,128,kernel_quadrature,16,1.0,16.0,1,0.9991524513871011
strict,indicator_linear,128,contiguous,32,1.0,32.0,1,0.6994373329391094
strict,indicator_linear,128,contiguous_block,32,1.0,32.0,1,0.6718809514136084
strict,indicator_linear,128,dispersed,32,1.0,32.0,1,0.9998851771993822
strict,indicator_linear,128,uniform,32,1.0,32.0,1,0.9997314570738354
strict,indicator_linear,128,random,32,1.0,32.0,1,0.9998798659848177
strict,indicator_linear,128,label_aware,32,1.0,32.0,1,0.9999529208497616
strict,indicator_linear,128,mutual_information,32,1.0,32.0,1,0.9999165551913503
strict,indicator_linear,128,imse,32,1.0,32.0,1,0.9999239384626997
strict,indicator_linear,128,kernel_quadrature,32,1.0,32.0,1,0.9999462855650093
strict,indicator_linear,128,contiguous,1,5.0,5.0,1,0.6671552533616383
strict,indicator_linear,128,contiguous_block,1,5.0,5.0,1,0.6671552533616383
strict,indicator_linear,128,dispersed,1,5.0,5.0,1,0.6671552533616383
strict,indicator_linear,128,uniform,1,5.0,5.0,1,0.585743698623635
strict,indicator_linear,128,random,1,5.0,5.0,1,0.8374377070517373
strict,indicator_linear,128,label_aware,1,5.0,5.0,1,0.8549574132056359
strict,indicator_linear,128,mutual_information,1,5.0,5.0,1,0.585743698623635
strict,indicator_linear,128,imse,1,5.0,5.0,1,0.8549574132056359
strict,indicator_linear,128,kernel_quadrature,1,5.0,5.0,1,0.8549574132056359
strict,indicator_linear,128,contiguous,2,5.0,10.0,1,0.6780974083894987
strict,indicator_linear,128,contiguous_block,2,5.0,10.0,1,0.6671552533616383
strict,indicator_linear,128,dispersed,2,5.0,10.0,1,0.9177767139116763
strict,indicator_linear,128,uniform,2,5.0,10.0,1,0.8715312369467295
strict,indicator_linear,128,random,2,5.0,10.0,1,0.9366761591158485
strict,indicator_linear,128,label_aware,2,5.0,10.0,1,0.9499089562514716
strict,indicator_linear,128,mutual_information,2,5.0,10.0,1,0.83305064691814
strict,indicator_linear,128,imse,2,5.0,10.0,1,0.9499089562514716
strict,indicator_linear,128,kernel_quadrature,2,5.0,10.0,1,0.9499089562514716
strict,indicator_linear,128,contiguous,4,5.0,20.0,1,0.6780974083894867
strict,indicator_linear,128,contiguous_block,4,5.0,20.0,1,0.6718809514136084
strict,indicator_linear,128,dispersed,4,5.0,20.0,1,0.9824251373895613
strict,indicator_linear,128,uniform,4,5.0,20.0,1,0.9648698911110026
strict,indicator_linear,128,random,4,5.0,20.0,1,0.9737724832869304
strict,indicator_linear,128,label_aware,4,5.0,20.0,1,0.9856587885413305
strict,indicator_linear,128,mutual_information,4,5.0,20.0,1,0.9730402901496403
strict,indicator_linear,128,imse,4,5.0,20.0,1,0.9830330617868727
strict,indicator_linear,128,kernel_quadrature,4,5.0,20.0,1,0.9830949909484832
strict,indicator_linear,128,contiguous,8,5.0,40.0,1,0.6994373329391922
strict,indicator_linear,128,contiguous_block,8,5.0,40.0,1,0.6842907700540825
strict,indicator_linear,128,dispersed,8,5.0,40.0,1,0.9961532365955009
strict,indicator_linear,128,uniform,8,5.0,40.0,1,0.9902064807987178
strict,indicator_linear,128,random,8,5.0,40.0,1,0.9916457837572947
strict,indicator_linear,128,label_aware,8,5.0,40.0,1,0.9968490964714403
strict,indicator_linear,128,mutual_information,8,5.0,40.0,1,0.9917347517965043
strict,indicator_linear,128,imse,8,5.0,40.0,1,0.9941833169834857
strict,indicator_linear,128,kernel_quadrature,8,5.0,40.0,1,0.9944893191616765
strict,indicator_linear,128,contiguous,16,5.0,80.0,1,0.7956600091625944
strict,indicator_linear,128,contiguous_block,16,5.0,80.0,1,0.7089746689528936
strict,indicator_linear,128,dispersed,16,5.0,80.0,1,0.9985615222834784
strict,indicator_linear,128,uniform,16,5.0,80.0,1,0.9987260633506485
strict,indicator_linear,128,random,16,5.0,80.0,1,0.998495734299194
strict,indicator_linear,128,label_aware,16,5.0,80.0,1,0.99946180452373
strict,indicator_linear,128,mutual_information,16,5.0,80.0,1,0.9975497937560006
strict,indicator_linear,128,imse,16,5.0,80.0,1,0.9988330923576405
strict,indicator_linear,128,kernel_quadrature,16,5.0,80.0,1,0.9991524513871011
strict,indicator_linear,128,contiguous,32,5.0,160.0,1,0.8279560998646689
strict,indicator_linear,128,contiguous_block,32,5.0,160.0,1,0.7470430481101391
strict,indicator_linear,128,dispersed,32,5.0,160.0,1,0.9998851771993822
strict,indicator_linear,128,uniform,32,5.0,160.0,1,0.9997314570738354
strict,indicator_linear,128,random,32,5.0,160.0,1,0.9998798659848177
strict,indicator_linear,128,label_aware,32,5.0,160.0,1,0.9999529208497616
strict,indicator_linear,128,mutual_information,32,5.0,160.0,1,0.9999165551913503
strict,indicator_linear,128,imse,32,5.0,160.0,1,0.9999239384626997
strict,indicator_linear,128,kernel_quadrature,32,5.0,160.0,1,0.9999462855650093
strict,indicator_linear,128,contiguous,1,15.0,15.0,0,0.6718809514136084
strict,indicator_linear,128,contiguous_block,1,15.0,15.0,0,0.6718809514136084
strict,indicator_linear,128,dispersed,1,15.0,15.0,0,0.6718809514136084
strict,indicator_linear,128,uniform,1,15.0,15.0,0,0.585743698623635
strict,indicator_linear,128,random,1,15.0,15.0,0,0.8374377070517373
strict,indicator_linear,128,label_aware,1,15.0,15.0,0,0.8547203471953128
strict,indicator_linear,128,mutual_information,1,15.0,15.0,0,0.585743698623635
strict,indicator_linear,128,imse,1,15.0,15.0,0,0.8547203471953128
strict,indicator_linear,128,kernel_quadrature,1,15.0,15.0,0,0.8547203471953128
strict,indicator_linear,128,contiguous,2,15.0,30.0,0,0.6780974083894987
strict,indicator_linear,128,contiguous_block,2,15.0,30.0,0,0.6718809514136084
strict,indicator_linear,128,dispersed,2,15.0,30.0,0,0.9148909297336796
strict,indicator_linear,128,uniform,2,15.0,30.0,0,0.8715312369467295
strict,indicator_linear,128,random,2,15.0,30.0,0,0.9366761591158485
strict,indicator_linear,128,label_aware,2,15.0,30.0,0,0.9493906344854435
strict,indicator_linear,128,mutual_information,2,15.0,30.0,0,0.83305064691814
strict,indicator_linear,128,imse,2,15.0,30.0,0,0.9412481340890833
strict,indicator_linear,128,kernel_quadrature,2,15.0,30.0,0,0.9493906344854435
strict,indicator_linear,128,contiguous,4,15.0,60.0,0,0.7095883245309057
strict,indicator_linear,128,contiguous_block,4,15.0,60.0,0,0.6922723360377337
strict,indicator_linear,128,dispersed,4,15.0,60.0,0,0.9835464369034149
strict,indicator_linear,128,uniform,4,15.0,60.0,0,0.9662539736523126
strict,indicator_linear,128,random,4,15.0,60.0,0,0.976100552595306
strict,indicator_linear,128,label_aware,4,15.0,60.0,0,0.9871759520478024
strict,indicator_linear,128,mutual_information,4,15.0,60.0,0,0.9368158485106184
strict,indicator_linear,128,imse,4,15.0,60.0,0,0.9823578781428512
strict,indicator_linear,128,kernel_quadrature,4,15.0,60.0,0,0.9870531631185792
strict,indicator_linear,128,contiguous,8,15.0,120.0,0,0.7964376873791552
strict,indicator_linear,128,contiguous_block,8,15.0,120.0,0,0.7237296591186897
strict,indicator_linear,128,dispersed,8,15.0,120.0,0,0.9954193802289748
strict,indicator_linear,128,uniform,8,15.0,120.0,0,0.9903940407834072
strict,indicator_linear,128,random,8,15.0,120.0,0,0.992327552556121
strict,indicator_linear,128,label_aware,8,15.0,120.0,0,0.9968304664860167
strict,indicator_linear,128,mutual_information,8,15.0,120.0,0,0.9897531716987147
strict,indicator_linear,128,imse,8,15.0,120.0,0,0.9944313876800411
strict,indicator_linear,128,kernel_quadrature,8,15.0,120.0,0,0.9959282924225404
strict,indicator_linear,128,contiguous,16,15.0,240.0,0,0.9056060127498318
strict,indicator_linear,128,contiguous_block,16,15.0,240.0,0,0.8008449534397709
strict,indicator_linear,128,dispersed,16,15.0,240.0,0,0.9992253073361326
strict,indicator_linear,128,uniform,16,15.0,240.0,0,0.9989602183396659
strict,indicator_linear,128,random,16,15.0,240.0,0,0.9985721044946606
strict,indicator_linear,128,label_aware,16,15.0,240.0,0,0.9996304754378262
strict,indicator_linear,128,mutual_information,16,15.0,240.0,0,0.998014711334221
strict,indicator_linear,128,imse,16,15.0,240.0,0,0.9993531658642313
strict,indicator_linear,128,kernel_quadrature,16,15.0,240.0,0,0.9992674425409152
strict,indicator_linear,128,contiguous,32,15.0,480.0,0,0.9824807294837852
strict,indicator_linear,128,contiguous_block,32,15.0,480.0,0,0.9079610132606757
strict,indicator_linear,128,dispersed,32,15.0,480.0,0,0.9999750903527526
strict,indicator_linear,128,uniform,32,15.0,480.0,0,0.9997516320377116
strict,indicator_linear,128,random,32,15.0,480.0,0,0.9998739365409574
strict,indicator_linear,128,label_aware,32,15.0,480.0,0,0.9999564045655064
strict,indicator_linear,128,mutual_information,32,15.0,480.0,0,0.9999145301050628
strict,indicator_linear,128,imse,32,15.0,480.0,0,0.9998991867143587
strict,indicator_linear,128,kernel_quadrature,32,15.0,480.0,0,0.9999374173763779
all,indicator_linear,128,contiguous,1,1.0,1.0,1,0.7177245196168541
all,indicator_linear,128,contiguous_block,1,1.0,1.0,1,0.7177245196168541
all,indicator_linear,128,dispersed,1,1.0,1.0,1,0.7177245196168541
all,indicator_linear,128,uniform,1,1.0,1.0,1,0.6548982699905861
all,indicator_linear,128,random,1,1.0,1.0,1,0.8666681310798977
all,indicator_linear,128,label_aware,1,1.0,1.0,1,0.8813681384383667
all,indicator_linear,128,mutual_information,1,1.0,1.0,1,0.6548982699905861
all,indicator_linear,128,imse,1,1.0,1.0,1,0.8813681384383667
all,indicator_linear,128,kernel_quadrature,1,1.0,1.0,1,0.8813681384383667
all,indicator_linear,128,contiguous,2,1.0,2.0,1,0.7285312124617787
all,indicator_linear,128,contiguous_block,2,1.0,2.0,1,0.7177245196168541
all,indicator_linear,128,dispersed,2,1.0,2.0,1,0.9324082299983047
all,indicator_linear,128,uniform,2,1.0,2.0,1,0.8970531377530013
all,indicator_linear,128,random,2,1.0,2.0,1,0.9489996635874336
all,indicator_linear,128,label_aware,2,1.0,2.0,1,0.9590567636919313
all,indicator_linear,128,mutual_information,2,1.0,2.0,1,0.8666107134235588
all,indicator_linear,128,imse,2,1.0,2.0,1,0.9590567636919313
all,indicator_linear,128,kernel_quadrature,2,1.0,2.0,1,0.9590567636919313
all,indicator_linear,128,contiguous,4,1.0,4.0,1,0.7285312124618758
all,indicator_linear,128,contiguous_block,4,1.0,4.0,1,0.7177245196168541
all,indicator_linear,128,dispersed,4,1.0,4.0,1,0.9859208986282106
all,indicator_linear,128,uniform,4,1.0,4.0,1,0.9717981684821366
all,indicator_linear,128,random,4,1.0,4.0,1,0.9789943597302613
all,indicator_linear,128,label_aware,4,1.0,4.0,1,0.9878046924555934
all,indicator_linear,128,mutual_information,4,1.0,4.0,1,0.9785144013166848
all,indicator_linear,128,imse,4,1.0,4.0,1,0.9862653754918193
all,indicator_linear,128,kernel_quadrature,4,1.0,4.0,1,0.9863094695729336
all,indicator_linear,128,contiguous,8,1.0,8.0,1,0.7285312124618484
all,indicator_linear,128,contiguous_block,8,1.0,8.0,1,0.7177245196168541
all,indicator_linear,128,dispersed,8,1.0,8.0,1,0.9969301670596561
all,indicator_linear,128,uniform,8,1.0,8.0,1,0.9921419270603119
all,indicator_linear,128,random,8,1.0,8.0,1,0.993252563434223
all,indicator_linear,128,label_aware,8,1.0,8.0,1,0.9974748939134406
all,indicator_linear,128,mutual_information,8,1.0,8.0,1,0.993376288457608
all,indicator_linear,128,imse,8,1.0,8.0,1,0.9953985490040588
all,indicator_linear,128,kernel_quadrature,8,1.0,8.0,1,0.9954661607661787
all,indicator_linear,128,contiguous,16,1.0,16.0,1,0.7285312124618343
all,indicator_linear,128,contiguous_block,16,1.0,16.0,1,0.7222479045122929
all,indicator_linear,128,dispersed,16,1.0,16.0,1,0.9988574141916606
all,indicator_linear,128,uniform,16,1.0,16.0,1,0.9989859197171864
all,indicator_linear,128,random,16,1.0,16.0,1,0.9988077815847769
all,indicator_linear,128,label_aware,16,1.0,16.0,1,0.9995707673334606
all,indicator_linear,128,mutual_information,16,1.0,16.0,1,0.9980324471228376
all,indicator_linear,128,imse,16,1.0,16.0,1,0.9990695673533573
all,indicator_linear,128,kernel_quadrature,16,1.0,16.0,1,0.9994563929010318
all,indicator_linear,128,contiguous,32,1.0,32.0,1,0.7473040245006205
all,indicator_linear,128,contiguous_block,32,1.0,32.0,1,0.7222479045122929
all,indicator_linear,128,dispersed,32,1.0,32.0,1,0.9999090292900376
all,indicator_linear,128,uniform,32,1.0,32.0,1,0.9997863746406201
all,indicator_linear,128,random,32,1.0,32.0,1,0.999904825405056
all,indicator_linear,128,label_aware,32,1.0,32.0,1,0.9999343426834351
all,indicator_linear,128,mutual_information,32,1.0,32.0,1,0.9999337165055434
all,indicator_linear,128,imse,32,1.0,32.0,1,0.9999393904510879
