repeat,fold,label_model,method,n_windows,width_minutes,total_minutes,n_train,n_test,ceiling_train,ceiling_test
0,0,indicator_linear,contiguous,1,15.0,15.0,67,17,0.7199434260794679,0.7219625676558171
0,0,indicator_linear,dispersed,1,15.0,15.0,67,17,0.7199434260794679,0.7219625676558171
0,0,indicator_linear,uniform,1,15.0,15.0,67,17,0.6880713506571152,0.472834295178512
0,0,indicator_linear,random,1,15.0,15.0,67,17,0.8801873527422837,0.8125148451544028
0,0,indicator_linear,label_aware,1,15.0,15.0,67,17,0.8800037498468714,0.7966023845786907
0,0,indicator_linear,mutual_information,1,15.0,15.0,67,17,0.6880713506571152,0.472834295178512
0,0,indicator_linear,imse,1,15.0,15.0,67,17,0.8800037498468714,0.7966023845786907
0,0,indicator_linear,kernel_quadrature,1,15.0,15.0,67,17,0.8800037498468714,0.7966023845786907
0,0,indicator_linear,contiguous,2,15.0,30.0,67,17,0.7204434235501519,0.9305697071962746
0,0,indicator_linear,dispersed,2,15.0,30.0,67,17,0.9255557006231465,0.9697184425073908
0,0,indicator_linear,uniform,2,15.0,30.0,67,17,0.9095448094848572,0.8595655992953092
0,0,indicator_linear,random,2,15.0,30.0,67,17,0.9453207901381474,0.9148958269149955
0,0,indicator_linear,label_aware,2,15.0,30.0,67,17,0.9574485400917693,0.9544299866813127
0,0,indicator_linear,mutual_information,2,15.0,30.0,67,17,0.867382100765586,0.8680111227329822
0,0,indicator_linear,imse,2,15.0,30.0,67,17,0.9574485400917693,0.9544299866813127
0,0,indicator_linear,kernel_quadrature,2,15.0,30.0,67,17,0.9574485400917693,0.9544299866813127
0,0,indicator_linear,contiguous,4,15.0,60.0,67,17,0.7503985261567796,0.9637014285577926
0,0,indicator_linear,dispersed,4,15.0,60.0,67,17,0.9855039358010539,0.9965443960710083
0,0,indicator_linear,uniform,4,15.0,60.0,67,17,0.9705885195138476,0.9838596717513447
0,0,indicator_linear,random,4,15.0,60.0,67,17,0.9844037933491636,0.9589344859355678
0,0,indicator_linear,label_aware,4,15.0,60.0,67,17,0.9893909700993333,0.9978054160186821
0,0,indicator_linear,mutual_information,4,15.0,60.0,67,17,0.9523725578200651,0.9439142626024847
0,0,indicator_linear,imse,4,15.0,60.0,67,17,0.982672027592942,0.9894642609117498
0,0,indicator_linear,kernel_quadrature,4,15.0,60.0,67,17,0.9860686386685755,0.998802679066843
0,0,indicator_linear,contiguous,8,15.0,120.0,67,17,0.8471522208699536,0.9794332648816606
0,0,indicator_linear,dispersed,8,15.0,120.0,67,17,0.9968990258808678,0.9988311706833454
0,0,indicator_linear,uniform,8,15.0,120.0,67,17,0.9925062236415165,0.9998783641359351
0,0,indicator_linear,random,8,15.0,120.0,67,17,0.9958553390577888,0.9998053591320321
0,0,indicator_linear,label_aware,8,15.0,120.0,67,17,0.9973865452969916,0.9999863847065535
0,0,indicator_linear,mutual_information,8,15.0,120.0,67,17,0.9914729881788134,0.9996675803696343
0,0,indicator_linear,imse,8,15.0,120.0,67,17,0.9960007615273302,0.9999307627484291
0,0,indicator_linear,kernel_quadrature,8,15.0,120.0,67,17,0.9964248083666294,0.9996746748026593
0,0,indicator_linear,contiguous,16,15.0,240.0,67,17,0.9338607863169393,0.995420821414171
0,0,indicator_linear,dispersed,16,15.0,240.0,67,17,0.9996407776326134,0.9999999998053114
0,0,indicator_linear,uniform,16,15.0,240.0,67,17,0.9993227401370298,1.0
0,0,indicator_linear,random,16,15.0,240.0,67,17,0.9994311586547274,0.9999999986118239
0,0,indicator_linear,label_aware,16,15.0,240.0,67,17,0.9997504581456582,0.9999999975527382
0,0,indicator_linear,mutual_information,16,15.0,240.0,67,17,0.998746583783843,0.9999999989683659
0,0,indicator_linear,imse,16,15.0,240.0,67,17,0.999639575210287,1.0
0,0,indicator_linear,kernel_quadrature,16,15.0,240.0,67,17,0.9996589975071476,0.9999999937587715
0,0,indicator_linear,contiguous,32,15.0,480.0,67,17,0.9884361078512744,0.9954208746977892
0,0,indicator_linear,dispersed,32,15.0,480.0,67,17,0.9999786633544381,1.0
0,0,indicator_linear,uniform,32,15.0,480.0,67,17,0.9998615750741218,0.9999999996631402
