label_model,method,n_windows,window_minutes,total_minutes,total_hours,ceiling
indicator_linear,contiguous_block,1,15.0,15.0,0.25,0.7222479045122929
indicator_linear,contiguous,1,15.0,15.0,0.25,0.7222479045122929
indicator_linear,dispersed,1,15.0,15.0,0.25,0.7222479045122929
indicator_linear,label_aware,1,15.0,15.0,0.25,0.8806701934757338
indicator_linear,contiguous_block,2,15.0,30.0,0.5,0.7222479045122929
indicator_linear,contiguous,2,15.0,30.0,0.5,0.7285312124617787
indicator_linear,dispersed,2,15.0,30.0,0.5,0.9301603879408514
indicator_linear,label_aware,2,15.0,30.0,0.5,0.9584488715537526
indicator_linear,contiguous_block,4,15.0,60.0,1.0,0.7406614709106181
indicator_linear,contiguous,4,15.0,60.0,1.0,0.757173480769102
indicator_linear,dispersed,4,15.0,60.0,1.0,0.9867646912267127
indicator_linear,label_aware,4,15.0,60.0,1.0,0.9896971024710667
indicator_linear,contiguous_block,8,15.0,120.0,2.0,0.7684373384838739
indicator_linear,contiguous,8,15.0,120.0,2.0,0.8304083436565974
indicator_linear,dispersed,8,15.0,120.0,2.0,0.9963370932061213
indicator_linear,label_aware,8,15.0,120.0,2.0,0.9974757453140768
indicator_linear,contiguous_block,16,15.0,240.0,4.0,0.8350362274537786
indicator_linear,contiguous,16,15.0,240.0,4.0,0.9219147926435358
indicator_linear,dispersed,16,15.0,240.0,4.0,0.9993829371909584
indicator_linear,label_aware,16,15.0,240.0,4.0,0.9997055273951235
indicator_linear,contiguous_block,32,15.0,480.0,8.0,0.9251295557443788
indicator_linear,contiguous,32,15.0,480.0,8.0,0.9857312224195018
indicator_linear,dispersed,32,15.0,480.0,8.0,0.9999801913687911
indicator_linear,label_aware,32,15.0,480.0,8.0,0.9999652650526943
