cohort,label_model,protocol,n_windows,total_minutes,ceiling,boot_mean,boot_sd,ci_lower,ci_upper
strict,indicator_linear,contiguous_1h,1,60.0,0.6922723360377337,0.686596528371646,0.08137393217954605,0.5257986568560148,0.8376683247518697
strict,indicator_linear,contiguous_6h,1,360.0,0.8669148146018537,0.8650833360111064,0.037377396554283335,0.7864790050898063,0.93128050775339
strict,indicator_linear,intermittent_4x15min,4,60.0,0.9835464369034149,0.9844946523284417,0.0038565767137665706,0.9756964919185329,0.9912571786693449
strict,indicator_linear,contiguous_1h_as_4x15min,4,60.0,0.7095883245309057,0.7301314992251778,0.07847504465155511,0.5676412197488344,0.8718113907399186
strict,indicator_linear,intermittent_2x30min,2,60.0,0.9148909297336796,0.9178497207739652,0.018657734046547143,0.8763019474381788,0.9510603689288425
strict,indicator_linear,intermittent_8x15min,8,120.0,0.9954193802289748,0.9960900768111474,0.0012716103508611046,0.9933982178371168,0.9982005386497463
strict,indicator_linear,label_aware_4x15min,4,60.0,0.9871759520478024,0.9879795291485778,0.002987397847147672,0.9815489742540425,0.9930931370865709
strict,indicator_linear,contrast_4x15min_minus_1h_contiguous,4,60.0,0.2912741008656812,0.2978981239567957,0.07892479507030331,0.1521439690841327,0.4529305241039476
all,indicator_linear,contiguous_1h,1,60.0,0.7406614709106181,0.7436894124694409,0.07069329051898285,0.6073913610236104,0.8792188532429512
all,indicator_linear,contiguous_6h,1,360.0,0.8910059674195178,0.8914090091495407,0.030716206782529745,0.8255546760698581,0.9438329745409506
all,indicator_linear,intermittent_4x15min,4,60.0,0.9867646912267127,0.9877840879460975,0.0031356822926977275,0.9807359033900267,0.9930814852536344
all,indicator_linear,contiguous_1h_as_4x15min,4,60.0,0.757173480769102,0.7807963736189851,0.06726253614658205,0.6469456931428783,0.9037339496096808
all,indicator_linear,intermittent_2x30min,2,60.0,0.9301603879408514,0.932654220165102,0.015877486240547793,0.8994949131579891,0.9615769872012284
all,indicator_linear,intermittent_8x15min,8,120.0,0.9963370932061213,0.9969467966066309,0.0009759907308592956,0.9949138277218785,0.9986471839273667
all,indicator_linear,label_aware_4x15min,4,60.0,0.9896971024710667,0.9905161314887693,0.002359894816512818,0.9852066211908511,0.9946459857781369
all,indicator_linear,contrast_4x15min_minus_1h_contiguous,4,60.0,0.24610322031609466,0.2440946754766567,0.06872303709274262,0.11298144826625826,0.3781709826380865
mixed,indicator_linear,contiguous_1h,1,60.0,0.28742211501596865,0.3002056233108733,0.13876516008088338,0.05711862118165714,0.5821537143409046
mixed,indicator_linear,contiguous_6h,1,360.0,0.597512870062363,0.5917316750245886,0.11240871413154255,0.34798901820762956,0.7863740469134521
mixed,indicator_linear,intermittent_4x15min,4,60.0,0.9399310735560708,0.9455408966373884,0.019007254953364718,0.9017250247544293,0.9726513888393474
mixed,indicator_linear,contiguous_1h_as_4x15min,4,60.0,0.408292301776569,0.49932110185390965,0.13850039769027636,0.2549217953356418,0.7706924028142916
mixed,indicator_linear,intermittent_2x30min,2,60.0,0.7405959470474224,0.7424104939113163,0.07240347703586124,0.5772014942214224,0.8535824294034352
mixed,indicator_linear,intermittent_8x15min,8,120.0,0.9826589553375172,0.986503516154962,0.005449526167187351,0.9745101922961722,0.9946724229867783
mixed,indicator_linear,label_aware_4x15min,4,60.0,0.9679014426937256,0.9713425644730334,0.011925819655492689,0.942211622329731,0.9885641150205493
mixed,indicator_linear,contrast_4x15min_minus_1h_contiguous,4,60.0,0.652508958540102,0.6453352733265152,0.13498514045835897,0.3722357592354333,0.8831493079674998
