block,scenario,quantity,route,index,value,note
S1a,one_snapshot,ceiling,continuous,0.0,0.11872269880135124,
S1a,one_snapshot,ceiling,discrete_p512,0.0,0.11858398011012258,
S1a,one_snapshot,ceiling,monte_carlo,0.0,0.11751164376044691,
S1a,one_snapshot,ceiling,conference,0.0,0.119,
S1a,one_snapshot,label_variance,continuous,0.0,0.02309336998350943,
S1a,one_snapshot,label_variance,discrete_p512,0.0,0.0231237282073379,
S1a,one_snapshot,label_variance,monte_carlo,0.0,0.023102740219636864,
S1a,one_snapshot,ceiling,continuous,0.2,0.2555815610431872,
S1a,one_snapshot,ceiling,discrete_p512,0.2,0.2554599526509857,
S1a,one_snapshot,ceiling,monte_carlo,0.2,0.2546276142264222,
S1a,one_snapshot,ceiling,conference,0.2,0.256,
S1a,one_snapshot,label_variance,continuous,0.2,0.05158420301567814,
S1a,one_snapshot,label_variance,discrete_p512,0.2,0.05161135107943514,
S1a,one_snapshot,label_variance,monte_carlo,0.2,0.05161176772833913,
S1a,one_snapshot,ceiling,continuous,0.35,0.35527653103098605,
S1a,one_snapshot,ceiling,discrete_p512,0.35,0.3551692888943853,
S1a,one_snapshot,ceiling,monte_carlo,0.35,0.35475481276717935,
S1a,one_snapshot,ceiling,conference,0.35,0.355,
S1a,one_snapshot,label_variance,continuous,0.35,0.0738789559771835,
S1a,one_snapshot,label_variance,discrete_p512,0.35,0.07390342370003908,
S1a,one_snapshot,label_variance,monte_carlo,0.35,0.07363205470513681,
S1b,same_time,ceiling,continuous,1,0.04841541587373777,
S1b,same_time,ceiling,discrete_p512,1,0.04832213929165935,
S1b,same_time,ceiling,monte_carlo,1,0.04854626570226852,
S1b,dispersed,ceiling,continuous,1,0.04841541587373777,
S1b,dispersed,ceiling,discrete_p512,1,0.04832213929165935,
S1b,dispersed,ceiling,monte_carlo,1,0.04890634465314503,
S1b,same_time,ceiling,continuous,2,0.06481660075450627,
S1b,same_time,ceiling,discrete_p512,2,0.06469242671292279,
S1b,same_time,ceiling,monte_carlo,2,0.06491189278825724,
S1b,dispersed,ceiling,continuous,2,0.09618911213581649,
S1b,dispersed,ceiling,discrete_p512,2,0.09600380255856915,
S1b,dispersed,ceiling,monte_carlo,2,0.09615187530633808,
S1b,same_time,ceiling,continuous,4,0.07812626387775047,
S1b,same_time,ceiling,discrete_p512,4,0.07797775545248403,
S1b,same_time,ceiling,monte_carlo,4,0.07822193228689128,
S1b,dispersed,ceiling,continuous,4,0.18493122875994564,
S1b,dispersed,ceiling,discrete_p512,4,0.18457509677684417,
S1b,dispersed,ceiling,monte_carlo,4,0.1856537397290739,
S1b,same_time,ceiling,continuous,8,0.08713197536152306,
S1b,same_time,ceiling,discrete_p512,8,0.08696783190663442,
S1b,same_time,ceiling,monte_carlo,8,0.08692324096353705,
S1b,dispersed,ceiling,continuous,8,0.33317443497661714,
S1b,dispersed,ceiling,discrete_p512,8,0.33253386551871544,
S1b,dispersed,ceiling,monte_carlo,8,0.33099281346274256,
S1b,same_time,ceiling,continuous,16,0.09249619722161305,
S1b,same_time,ceiling,discrete_p512,16,0.09232351419258394,
S1b,same_time,ceiling,monte_carlo,16,0.09227185778273062,
S1b,dispersed,ceiling,continuous,16,0.5193654906465597,
S1b,dispersed,ceiling,discrete_p512,16,0.5183704924647982,
S1b,dispersed,ceiling,monte_carlo,16,0.5183736906204068,
S1b,same_time,ceiling,continuous,32,0.09544866225460209,
S1b,same_time,ceiling,discrete_p512,32,0.0952719288868954,
S1b,same_time,ceiling,monte_carlo,32,0.09523503018185135,
S1b,dispersed,ceiling,continuous,32,0.6872702480794046,
S1b,dispersed,ceiling,discrete_p512,32,0.6859624350500718,
S1b,dispersed,ceiling,monte_carlo,32,0.6855129266424516,
S1b,same_time,ceiling,continuous,64,0.09700202991049398,
S1b,same_time,ceiling,discrete_p512,64,0.09682369124539777,
S1b,same_time,ceiling,monte_carlo,64,0.09675533262760967,
S1b,dispersed,ceiling,continuous,64,0.8083596205841647,
S1b,dispersed,ceiling,discrete_p512,64,0.8068404141154712,
S1b,dispersed,ceiling,monte_carlo,64,0.8065567284272845,
S1b,same_time,ceiling,conference,64,0.09701591800567386,
S1b,dispersed,ceiling,conference,64,0.8083429396705237,
S1c,ou_state_coefficient,A_0,hermite_quadrature,0.0,0.3465735902799652,
S1c,ou_state_coefficient,A_0,closed_form,0.0,0.34657359027997264,
S1c,ou_state_coefficient,A_0,direct_quadrature,0.0,0.34657359027997214,
S2a,minimal_example,ceiling_B_mean,linear_ceiling,1,0.6816612989721519,
S2a,minimal_example,ceiling_B_mean,linear_ceiling,-1,0.8273589690293007,
S2a,minimal_example,ceiling_B_occupation,discrete,1,0.6433629652779143,
S2a,minimal_example,ceiling_B_occupation,discrete,-1,0.7474933869966408,
S2b,p=3,n_invisible_directions,stationary,3,0.0,
S2b,p=3,jacobian_rank,stationary,3,2.0,
S2b,p=4,n_invisible_directions,stationary,4,1.0,
S2b,p=4,jacobian_rank,stationary,4,2.0,
S2b,p=5,n_invisible_directions,stationary,5,2.0,
S2b,p=5,jacobian_rank,stationary,5,2.0,
S2b,p=6,n_invisible_directions,stationary,6,3.0,
S2b,p=6,jacobian_rank,stationary,6,2.0,
S2b,p=7,n_invisible_directions,stationary,7,4.0,
S2b,p=7,jacobian_rank,stationary,7,2.0,
S2b,p=8,n_invisible_directions,stationary,8,5.0,
S2b,p=8,jacobian_rank,stationary,8,2.0,
S2c,p8_d1,fraction_with_invisible_direction,random,8,1.0,d_obs=1
S2c,p8_d1,ceiling_gap_median,random,8,0.13597242661949988,d_obs=1
S2c,p8_d2,fraction_with_invisible_direction,random,8,1.0,d_obs=2
S2c,p8_d2,ceiling_gap_median,random,8,0.18731260130315608,d_obs=2
S2c,p8_d3,fraction_with_invisible_direction,random,8,1.0,d_obs=3
S2c,p8_d3,ceiling_gap_median,random,8,0.1872416506024255,d_obs=3
S2c,p12_d1,fraction_with_invisible_direction,random,12,1.0,d_obs=1
S2c,p12_d1,ceiling_gap_median,random,12,0.04141078759586539,d_obs=1
S2c,p12_d2,fraction_with_invisible_direction,random,12,1.0,d_obs=2
S2c,p12_d2,ceiling_gap_median,random,12,0.07213768244549439,d_obs=2
S2c,p12_d3,fraction_with_invisible_direction,random,12,1.0,d_obs=3
S2c,p12_d3,ceiling_gap_median,random,12,0.08922676490025716,d_obs=3
S2c,p16_d1,fraction_with_invisible_direction,random,16,1.0,d_obs=1
S2c,p16_d1,ceiling_gap_median,random,16,0.02616345929936661,d_obs=1
S2c,p16_d2,fraction_with_invisible_direction,random,16,1.0,d_obs=2
S2c,p16_d2,ceiling_gap_median,random,16,0.03916930167672629,d_obs=2
S2c,p16_d3,fraction_with_invisible_direction,random,16,1.0,d_obs=3
S2c,p16_d3,ceiling_gap_median,random,16,0.0435201145535669,d_obs=3
