alpha,p,V_discrete,I_discrete,V_continuous,I_continuous,I_conference
0.0,128,0.023336927894849945,0.11775690886327311,0.02309336998350943,0.11872269880135124,0.119
0.0,256,0.023179354199669367,0.11835095088587651,0.02309336998350943,0.11872269880135124,0.119
0.0,512,0.0231237282073379,0.11858398011012258,0.02309336998350943,0.11872269880135124,0.119
0.0,1024,0.02310409098200023,0.1186718451762853,0.02309336998350943,0.11872269880135124,0.119
0.2,128,0.05180194107118057,0.25471266548726146,0.05158420301567814,0.2555815610431872,0.256
0.2,256,0.05166108655671077,0.2552526294361437,0.05158420301567814,0.2555815610431872,0.256
0.2,512,0.05161135107943514,0.2554599526509857,0.05158420301567814,0.2555815610431872,0.256
0.2,1024,0.05159379097888119,0.2555372338055872,0.05158420301567814,0.2555815610431872,0.256
0.35,128,0.07407515470118109,0.3545019040904338,0.0738789559771835,0.35527653103098605,0.355
0.35,256,0.07394824338145346,0.35498527756471276,0.0738789559771835,0.35527653103098605,0.355
0.35,512,0.07390342370003908,0.3551692888943853,0.0738789559771835,0.35527653103098605,0.355
0.35,1024,0.07388759771231238,0.35523754257835405,0.0738789559771835,0.35527653103098605,0.355
