config,kernel,alpha,nu2,arm,label,beta,m,n_rep,I_true_ref,bias,bias_se,rmse,sd,coverage,ci_width,uniform_err_mean,uniform_err_sd,uniform_err_median,uniform_err_q90,k_err_mean,r_eff_mean,r_eff_true,kappa,bound_mean,bound_ratio_median,bound_ratio_mean,bound_valid_frac,bound_nonvacuous_frac,small_pert_frac
ou_alpha0_nu0.25,ou,0.0,0.25,known,mean,1.0,25,200,0.26799418107294054,0.00011037724906781787,0.007388818310319984,0.10423216754773051,0.10449367064365178,0.92,0.3616496801653979,0.24594183825165608,0.048614821408023666,0.2378825536554424,0.31678650132891195,10.78615607260634,6.992230211437186,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,mean,1.0,50,200,0.26799418107294054,-0.010755703408434077,0.005657872004802036,0.08053556211222469,0.08001439323362093,0.925,0.2764628020280337,0.1948300973081269,0.034139640348053835,0.19080042866453767,0.23472687903659076,7.59534898966464,8.14684366661341,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,mean,1.0,100,200,0.26799418107294054,-0.0062011698789558025,0.004287020994611341,0.06079297459827996,0.06062763232757554,0.935,0.21136883501246706,0.14973120330260506,0.030613411293887706,0.14844021649565842,0.1898652627285089,5.601277832831019,8.810587248812016,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,mean,1.0,250,200,0.26799418107294054,-0.00389566030755097,0.002857246599652188,0.04049424573128141,0.04040756892272534,0.91,0.14543190822724103,0.10205463505987314,0.02084306137091373,0.10116768199491877,0.12952014434238723,3.610878072072536,9.452474128193272,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,mean,1.0,500,200,0.26799418107294054,-0.001849198748387383,0.0020919714696805377,0.029568769290799875,0.029584944245197923,0.945,0.10719487509178485,0.07527172227464883,0.015297526726547408,0.07429950062433323,0.096305597450274,2.642240034994832,9.746389508578627,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,mean,1.0,1000,200,0.26799418107294054,0.0009194024558292966,0.0014779944605093649,0.020869939106517833,0.020901998111646496,0.915,0.07799653234660237,0.05380347846989471,0.010597082687477121,0.05341214624518198,0.06541161473698924,1.876084479505763,9.8759933981234,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,sigmoid,1.0,25,200,0.26258063840905604,0.00034144533738303227,0.007261303263120325,0.1024338570768464,0.10269033555208774,0.92,0.35422510384512307,0.24127677882119997,0.0481314974275355,0.23254631562139322,0.31231691101248166,10.78615607260634,6.992230211437186,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,sigmoid,1.0,50,200,0.26258063840905604,-0.010060291843702157,0.005562891953059861,0.07911647793843377,0.07867117246033412,0.93,0.27154488682839284,0.19119467137358534,0.03381915020765927,0.18699566109296656,0.23159226336286723,7.59534898966464,8.14684366661341,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,sigmoid,1.0,100,200,0.26258063840905604,-0.005665053122388122,0.004211051115075425,0.059673697506868954,0.05955325598786012,0.935,0.207771352338503,0.14682940517687576,0.03010113581643019,0.14592626924503238,0.18589008715884764,5.601277832831019,8.810587248812016,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,sigmoid,1.0,250,200,0.26258063840905604,-0.003601669352983913,0.002806693255892433,0.039756759194254816,0.039692636679041784,0.91,0.14284680108602998,0.1000307955507979,0.020458807369240068,0.09882796086123069,0.1266964386903447,3.610878072072536,9.452474128193272,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,sigmoid,1.0,500,200,0.26258063840905604,-0.0017477072426875099,0.0020528465238265022,0.029011654069236836,0.029031633954659023,0.945,0.1052091871122426,0.07370303737617118,0.014988542236156113,0.07279693927614501,0.09454759730650035,2.642240034994832,9.746389508578627,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,sigmoid,1.0,1000,200,0.26258063840905604,0.0009337050458275397,0.0014510262486190932,0.020490528611403415,0.02052061000156476,0.915,0.07657270996741544,0.052697838429862934,0.01038466687121519,0.052210627882676774,0.06417523430520315,1.876084479505763,9.8759933981234,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,occ_c0,0.5,25,200,0.24401651828426504,2.410289555270062e-05,0.006833035919428006,0.09639183666842359,0.09663372069437598,0.92,0.3293616580550153,0.22494096038310704,0.04633000210750579,0.21575924574475902,0.2943823242805252,10.78615607260634,6.992230211437186,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,occ_c0,0.5,50,200,0.24401651828426504,-0.008455611553749529,0.005245081668280615,0.07447256425307001,0.07417665631036946,0.935,0.2555615657011407,0.17877872354991323,0.032741428369992276,0.17530572360866972,0.21976064686509772,7.59534898966464,8.14684366661341,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,occ_c0,0.5,100,200,0.24401651828426504,-0.0042289755605209945,0.003960889494600338,0.056035031064416416,0.05601543642324912,0.94,0.19591364429753202,0.13723260628525022,0.02841854004486029,0.1355492136623059,0.17564943685084905,5.601277832831019,8.810587248812016,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,occ_c0,0.5,250,200,0.24401651828426504,-0.0026665266937246556,0.0026447970291254247,0.03740462108265782,0.037403078283132454,0.91,0.13453933844133162,0.09343590590691299,0.01925490352036962,0.0927418937908133,0.11859049099201822,3.610878072072536,9.452474128193272,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,occ_c0,0.5,500,200,0.24401651828426504,-0.001394911584393772,0.0019275943900451866,0.02722782005050124,0.027260301291561966,0.94,0.0988713595819804,0.06862847672524693,0.014025494067546676,0.06819715542602199,0.08863597616517503,2.642240034994832,9.746389508578627,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
