delta,e_norm,dV_mean,dV_sigmoid,dV_occ_c0,dV_occ_c1
0.1,1.9499999999999975,0.04874999999999996,0.005417605399927805,0.020710788649417528,0.012323691318658084
0.03162277660168379,0.6166441437328312,0.015416103593320574,0.001763491847215748,0.011497163260116211,0.006932442957424109
0.01,0.19500000000000026,0.004874999999999519,0.0005632832590546366,0.0064394592459071365,0.0038985246731828155
0.0031622776601683794,0.06166441437328619,0.0015416103593320907,0.00017870883513589064,0.0036166111218854935,0.0021923085025720157
0.001,0.019500000000002186,0.000487499999999752,5.657169999764844e-05,0.002032960569925052,0.0012328260590816487
0.00031622776601683794,0.006166441437325584,0.00015416103593313135,1.789546524641472e-05,0.0011430739384500899,0.0006932690617262871
0.0001,0.0019499999999997857,4.8750000000041815e-05,5.659636005406199e-06,0.0006427721478313997,0.0003898538441176602
3.1622776601683795e-05,0.0006166441437338577,1.5416103593457464e-05,1.7897933739241534e-06,0.0003614527955163871,0.00021923092740117056
1e-05,0.00019499999999694761,4.875000000348351e-06,5.659882934133664e-07,0.00020325903565565628,0.00012328261023936138
3.162277660168379e-06,6.166441437338575e-05,1.5416103599230624e-06,1.7898180695863353e-07,0.00011430081172061901,6.932690641642258e-05
1e-06,1.950000000272566e-05,4.874999999238128e-07,5.659907628685623e-08,6.427604438016821e-05,3.898538443128374e-05
3.162277660168379e-07,6.1664414364726e-06,1.5416103571475048e-07,1.789820532061004e-08,3.61450714210787e-05,2.1923092739406513e-05
1e-07,1.9499999968086725e-06,4.87500000367902e-08,5.659910054522932e-09,2.0325866522591385e-05,1.2328261004418417e-05
3.162277660168379e-08,6.166441440802478e-07,1.5416103504861667e-08,1.7898207499422725e-09,1.1430074593560269e-05,6.93269064364066e-06
1e-08,1.9500000314476298e-07,4.875000292337006e-09,5.6599103182009e-10,6.42760336910797e-06,3.898538504520932e-06
