kernel,label,n_triples_checked,violation_found,relative_violation,absolute_violation,gain_S,gain_T,size_S,size_T,min_marginal_increment,gamma,gamma_median,greedy_factor
ou,mean,15696,False,0.0,0.0,nan,nan,0,0,0.007866040049800821,1.0,1.0,0.6321205588285577
ou,occupation_c0,15696,False,0.0,0.0,nan,nan,0,0,0.001341542425034925,1.0,1.0,0.6321205588285577
ou,occupation_c1,15696,False,0.0,0.0,nan,nan,0,0,0.0006266178992796554,1.0,1.0,0.6321205588285577
ou,two_sided_c1,15696,True,0.07009490973078404,6.676805037246654e-05,0.0009525377895328622,0.0010193058399053287,0,2,0.0006486940380987134,0.9756322025108461,1.0,0.6230460330275972
matern32,mean,15696,True,0.275013415829918,0.0019960596571574757,0.007258044670780492,0.009254104327937968,2,4,0.007230216425045899,0.9583439679085545,1.0,0.6164725057973632
matern32,occupation_c0,15696,True,0.23335038972227265,0.0003229696654897009,0.0013840545365023417,0.0017070242019920426,2,4,0.0013796254440841295,0.9608659926123893,1.0,0.6174385529029556
matern32,occupation_c1,15696,True,0.17835924673918582,0.00013048448555362264,0.0007315823986654849,0.0008620668842191075,2,4,0.0007315823986654849,0.9660963671116654,1.0,0.6194342688197376
matern32,two_sided_c1,15696,True,0.048874558063537604,6.44503171907207e-05,0.0013186884903784583,0.001383138807569179,1,4,0.001042610344401373,0.985186517086536,1.0,0.626630419364631
two_scale_ou,mean,15696,False,0.0,0.0,nan,nan,0,0,0.0056541754809086575,1.0,1.0,0.6321205588285577
two_scale_ou,occupation_c0,15696,False,0.0,0.0,nan,nan,0,0,0.0009206619504830878,1.0,1.0,0.6321205588285577
two_scale_ou,occupation_c1,15696,False,0.0,0.0,nan,nan,0,0,0.00039407281460835004,1.0,1.0,0.6321205588285577
two_scale_ou,two_sided_c1,15696,True,0.30311943413636994,0.00012304002587938494,0.0004059126932258347,0.0005289527191052197,0,2,0.00024896306105080693,0.8806674263022666,1.0,0.5854938329797994
damped_periodic,mean,15696,True,303854.2687654695,0.0006606264382506217,2.1741555283547043e-09,0.00066062861240615,2,5,2.003269623969406e-09,0.7331628034632676,1.0,0.519612785525473
damped_periodic,occupation_c0,15696,True,12.8783534565203,0.0001212986501495079,9.418801134712955e-06,0.00013071745128422085,2,5,7.741665412761154e-06,0.7500936815165445,1.0,0.5276776972012778
damped_periodic,occupation_c1,15696,True,0.2307910534757944,0.00016258275050983362,0.0007044586350349385,0.0008670413855447721,2,4,0.0002683137239320194,0.934463356662395,1.0,0.6072033993395622
damped_periodic,two_sided_c1,15696,True,0.30074960124877875,0.0006320034284474033,0.002101427319681175,0.0027334307481285784,1,3,0.0008926655371453672,0.9079328635349732,1.0,0.5966428428682147
