alpha,label,protocol,model,seed_index,seed_key,n_subjects_train,n_subjects_test,n_horizons,r2_total,r2_between,r2_within,within_squared_corr,bayes_r2_total,bayes_r2_between,bayes_r2_within,bayes_within_squared_corr,hyperparameter
0.35,occupation,same_time,ridge,0,"[20260802, 777, 0]",2500,5000,2,0.34624527549862427,0.4487286420441552,-0.7389952681082783,0.06838765962773781,0.3493047319560083,0.45577742749250405,-0.7781805359287401,0.07057993076056678,cv-alpha
0.35,occupation,same_time,gp,0,"[20260802, 777, 0]",2500,5000,2,0.3476860056078258,0.44594679071415266,-0.6928398030038116,0.07114719042734226,0.3493047319560083,0.45577742749250405,-0.7781805359287401,0.07057993076056678,reg=1
0.35,occupation,same_time,mlp,0,"[20260802, 777, 0]",2500,5000,2,0.348276423943366,0.45105115926770356,-0.7400495492562671,0.07063598927239947,0.3493047319560083,0.45577742749250405,-0.7781805359287401,0.07057993076056678,weight_decay=0.01
0.35,occupation,dispersed,ridge,0,"[20260802, 777, 0]",2500,5000,2,0.6840771525596407,0.7794165072037629,-0.3255123696107767,0.22102390593235766,0.6975285634055994,0.794379140656791,-0.3280639463606503,0.23511978727355448,cv-alpha
0.35,occupation,dispersed,gp,0,"[20260802, 777, 0]",2500,5000,2,0.6901822801166613,0.7843273307043517,-0.3067602415977564,0.23422931638832187,0.6975285634055994,0.794379140656791,-0.3280639463606503,0.23511978727355448,reg=3
0.35,occupation,dispersed,mlp,0,"[20260802, 777, 0]",2500,5000,2,0.6931932452818415,0.787448022052249,-0.30491121427862455,0.22942058110066715,0.6975285634055994,0.794379140656791,-0.3280639463606503,0.23511978727355448,weight_decay=0.01
0.35,mean,same_time,ridge,0,"[20260802, 777, 0]",2500,5000,2,0.36310881861173594,0.4635111166453637,-0.8809946786196825,0.09580769173710638,0.36387576383715925,0.4675056992383513,-0.9202219866675898,0.09580769173710638,cv-alpha
0.35,mean,same_time,gp,0,"[20260802, 777, 0]",2500,5000,2,0.3617102865667525,0.4694091119201763,-0.9728058340207795,0.09459469540644953,0.36387576383715925,0.4675056992383513,-0.9202219866675898,0.09580769173710638,reg=0.3
0.35,mean,same_time,mlp,0,"[20260802, 777, 0]",2500,5000,2,0.3610091200291121,0.45547589502448615,-0.8095462103334969,0.09491704841252482,0.36387576383715925,0.4675056992383513,-0.9202219866675898,0.09580769173710638,weight_decay=0.1
0.35,mean,dispersed,ridge,0,"[20260802, 777, 0]",2500,5000,2,0.7226831187803204,0.8143566217455623,-0.41326025976976966,0.2899672478719286,0.7232478805588858,0.8151240150356036,-0.415206342633347,0.2895930017204249,cv-alpha
