label,budget,method,fold,r2_heldout,selection_score_train,r2_heldout_sd_over_draws,n_test_records,n_train_records,cost_epochs,runtime_s
REM,4,consecutive,0,0.7245881931732914,0.02357506642715965,nan,42,155,4.0,0.0
REM,4,uniform,0,0.6974937888963825,0.16706745444531484,nan,42,155,4.0,0.0
REM,4,random,0,0.7339417044469592,0.13463623830255805,0.031084376864964697,42,155,4.0,0.0
REM,4,imse,0,0.6633736211271473,0.2687928631726492,nan,42,155,4.0,0.06586954100203002
REM,4,kernel_quadrature,0,0.6529618817502996,0.400325715041025,nan,42,155,4.0,0.06021320800209651
REM,4,label_aware,0,0.6599013773563616,0.46748439164461353,nan,42,155,4.0,0.012339833003352396
REM,8,consecutive,0,0.733740378943696,0.04357149088936849,nan,42,155,8.0,0.0
REM,8,uniform,0,0.7237460692877207,0.21512441344723213,nan,42,155,8.0,0.0
REM,8,random,0,0.7309720266564252,0.2081612871888193,0.04556394545863516,42,155,8.0,0.0
REM,8,imse,0,0.6001657917210441,0.5024824981928059,nan,42,155,8.0,0.06586954100203002
REM,8,kernel_quadrature,0,0.5970692066850931,0.625260404368683,nan,42,155,8.0,0.06021320800209651
REM,8,label_aware,0,0.6796330104195476,0.622421277721005,nan,42,155,8.0,0.02884749999793712
REM,16,consecutive,0,0.7428978675168108,0.1319946015399103,nan,42,155,16.0,0.0
REM,16,uniform,0,0.7959354091208907,0.4328676960588601,nan,42,155,16.0,0.0
REM,16,random,0,0.7576234219366682,0.399362154983553,0.039458208228802596,42,155,16.0,0.0
REM,16,imse,0,0.7576861672987913,0.640491925729526,nan,42,155,16.0,0.06586954100203002
REM,16,kernel_quadrature,0,0.7201365039692638,0.7317053753743047,nan,42,155,16.0,0.06021320800209651
REM,16,label_aware,0,0.8170138077367343,0.7901259966018643,nan,42,155,16.0,0.10920762500609271
REM,32,consecutive,0,0.8836557035503263,0.3772204502984881,nan,42,155,32.0,0.0
REM,32,uniform,0,0.8879832486571897,0.6915240625497382,nan,42,155,32.0,0.0
REM,32,random,0,0.781304990955374,0.6581439047945429,0.07903179629969716,42,155,32.0,0.0
REM,32,imse,0,0.8480798387758827,0.8240314245567363,nan,42,155,32.0,0.06586954100203002
REM,32,kernel_quadrature,0,0.8378514969612303,0.8745093016311445,nan,42,155,32.0,0.06021320800209651
REM,32,label_aware,0,0.9005895490052761,0.9095780570573159,nan,42,155,32.0,0.4881355839970638
REM,64,consecutive,0,0.903369798260686,0.8658250401929753,nan,42,155,64.0,0.0
REM,64,uniform,0,0.9077735574728903,0.9145105465273667,nan,42,155,64.0,0.0
REM,64,random,0,0.8618667826884225,0.8673762779787724,0.032852817017299384,42,155,64.0,0.0
REM,64,imse,0,0.963633533946436,0.949664743078112,nan,42,155,64.0,0.06586954100203002
REM,64,kernel_quadrature,0,0.9147129933759256,0.9562352393898981,nan,42,155,64.0,0.06021320800209651
REM,64,label_aware,0,0.9229340501036555,0.9723567577312792,nan,42,155,64.0,0.3060978339999565
REM,4,consecutive,1,0.6896915805716235,0.004894827415846453,nan,41,156,4.0,0.0
REM,4,uniform,1,0.6850227020816131,0.15276226934230877,nan,41,156,4.0,0.0
REM,4,random,1,0.712370834399988,0.1085431719584179,0.03246052722239551,41,156,4.0,0.0
REM,4,imse,1,0.7140950211190632,0.26036058103947063,nan,41,156,4.0,0.0643612089988892
REM,4,kernel_quadrature,1,0.6064022307484627,0.3781091344649692,nan,41,156,4.0,0.06008641599328257
REM,4,label_aware,1,0.7213391293050946,0.39391661727613086,nan,41,156,4.0,0.008382792002521455
REM,8,consecutive,1,0.6934280684194352,0.035281071034707706,nan,41,156,8.0,0.0
REM,8,uniform,1,0.6712480730229959,0.1838690553685745,nan,41,156,8.0,0.0
REM,8,random,1,0.7130456290740599,0.20178328073824203,0.02061284404523339,41,156,8.0,0.0
REM,8,imse,1,0.7510009119545038,0.3797989286849089,nan,41,156,8.0,0.0643612089988892
REM,8,kernel_quadrature,1,0.6973717262252022,0.516396789532436,nan,41,156,8.0,0.06008641599328257
REM,8,label_aware,1,0.7661629207108973,0.6022946582232085,nan,41,156,8.0,0.0018127919975086115
REM,16,consecutive,1,0.7026524009290935,0.11954988311702183,nan,41,156,16.0,0.0
REM,16,uniform,1,0.7462641213170174,0.42580603250660076,nan,41,156,16.0,0.0
REM,16,random,1,0.7441827676486039,0.3989424509113909,0.03362173602851283,41,156,16.0,0.0
REM,16,imse,1,0.8038970381652366,0.5699713621593158,nan,41,156,16.0,0.0643612089988892
REM,16,kernel_quadrature,1,0.741315167350846,0.6932434607813389,nan,41,156,16.0,0.06008641599328257
REM,16,label_aware,1,0.8107460742820836,0.7727093159076438,nan,41,156,16.0,0.002049457994871773
REM,32,consecutive,1,0.7471709285320209,0.5131267126346671,nan,41,156,32.0,0.0
REM,32,uniform,1,0.7940916277321404,0.6628589203839244,nan,41,156,32.0,0.0
REM,32,random,1,0.7725045623300152,0.6140966493853786,0.06229831062873833,41,156,32.0,0.0
REM,32,imse,1,0.8675005427531111,0.8255860594435801,nan,41,156,32.0,0.0643612089988892
REM,32,kernel_quadrature,1,0.8461889006469295,0.8476627068713029,nan,41,156,32.0,0.06008641599328257
REM,32,label_aware,1,0.8304663328904065,0.8968763579976905,nan,41,156,32.0,0.00815850000071805
REM,64,consecutive,1,0.8729914374656084,0.8433986521533529,nan,41,156,64.0,0.0
REM,64,uniform,1,0.9165025554987858,0.8760155999092312,nan,41,156,64.0,0.0
REM,64,random,1,0.863598639205048,0.8411314552125251,0.04301192192003422,41,156,64.0,0.0
REM,64,imse,1,0.9302506950260416,0.931021699719381,nan,41,156,64.0,0.0643612089988892
REM,64,kernel_quadrature,1,0.9113090520508815,0.940381430859709,nan,41,156,64.0,0.06008641599328257
REM,64,label_aware,1,0.9512022579776249,0.9731539179678635,nan,41,156,64.0,0.20642899999802466
REM,4,consecutive,2,-0.16245218254486016,0.05694358644986616,nan,40,157,4.0,0.0
REM,4,uniform,2,0.027509885658623223,0.11266341727976625,nan,40,157,4.0,0.0
REM,4,random,2,-0.03790160799526184,0.09417609390484896,0.0816142570758509,40,157,4.0,0.0
REM,4,imse,2,0.35205137217871874,0.22287856148759297,nan,40,157,4.0,0.06326275000174064
REM,4,kernel_quadrature,2,-0.074041895108383,0.43456660219256577,nan,40,157,4.0,0.06494158299756236
REM,4,label_aware,2,-0.20675260886874636,0.49410486872193404,nan,40,157,4.0,0.02697045799868647
REM,8,consecutive,2,-0.14863840350121316,0.09132281215500432,nan,40,157,8.0,0.0
REM,8,uniform,2,0.08128190376565436,0.1576983706236565,nan,40,157,8.0,0.0
REM,8,random,2,0.06651096932512109,0.22161059167238079,0.07106037105633656,40,157,8.0,0.0
REM,8,imse,2,0.3958392823920446,0.2877924004147254,nan,40,157,8.0,0.06326275000174064
REM,8,kernel_quadrature,2,-0.11902886873644736,0.5485753998949272,nan,40,157,8.0,0.06494158299756236
REM,8,label_aware,2,-0.2691757956811234,0.6441810265093478,nan,40,157,8.0,0.0629203749995213
REM,16,consecutive,2,-0.14934065811360853,0.18295041301120415,nan,40,157,16.0,0.0
REM,16,uniform,2,0.18296549790297523,0.4608214842835399,nan,40,157,16.0,0.0
REM,16,random,2,0.23514541750522966,0.3993266512110909,0.118215652127576,40,157,16.0,0.0
REM,16,imse,2,0.5327046268072597,0.5730120408173662,nan,40,157,16.0,0.06326275000174064
REM,16,kernel_quadrature,2,0.03716597428052704,0.7393756625468579,nan,40,157,16.0,0.06494158299756236
REM,16,label_aware,2,0.04100535910824965,0.8162717092481608,nan,40,157,16.0,0.13738079199538333
REM,32,consecutive,2,0.12547366316577147,0.48880529366038017,nan,40,157,32.0,0.0
REM,32,uniform,2,0.6432976075710151,0.6833651870430419,nan,40,157,32.0,0.0
REM,32,random,2,0.34145476330295615,0.6544184878092936,0.1453095322766745,40,157,32.0,0.0
REM,32,imse,2,0.6610067778208161,0.7771252720734815,nan,40,157,32.0,0.06326275000174064
REM,32,kernel_quadrature,2,0.30045823575288333,0.8879548330314438,nan,40,157,32.0,0.06494158299756236
